sheet,cell,formula,category
Input,I2,=Results!C2,summary_or_collection_bridge
Input,I3,=SUM(Results!E2:Q2)-I4,summary_or_collection_bridge
Input,I4,"=IFERROR(HLOOKUP(H4,Results!1:2,2,0),0)",summary_or_collection_bridge
Input,B23,=B5/(159.6922/2/71.8464)+B7,fe_handling_or_fe_related
Input,D23,"=INDEX(aux!P4:P7,aux!P3)",fe_handling_or_fe_related
Results,B11,"=IF(Input!B2="""",IF(OR(Input!A2=""Fe2O3"",Input!A2=""FeO""),0,""""),Input!B2/SUM(Input!B$2:B$20)*100)",fe_handling_or_fe_related
Results,B12,"=IF(Input!B3="""",IF(OR(Input!A3=""Fe2O3"",Input!A3=""FeO""),0,""""),Input!B3/SUM(Input!B$2:B$20)*100)",fe_handling_or_fe_related
Results,B13,"=IF(Input!B4="""",IF(OR(Input!A4=""Fe2O3"",Input!A4=""FeO""),0,""""),Input!B4/SUM(Input!B$2:B$20)*100)",fe_handling_or_fe_related
Results,B14,"=IF(Input!B5="""",IF(OR(Input!A5=""Fe2O3"",Input!A5=""FeO""),0,""""),Input!B5/SUM(Input!B$2:B$20)*100)",fe_handling_or_fe_related
Results,B15,"=IF(Input!B6="""",IF(OR(Input!A6=""Fe2O3"",Input!A6=""FeO""),0,""""),Input!B6/SUM(Input!B$2:B$20)*100)",fe_handling_or_fe_related
Results,B16,"=IF(Input!B7="""",IF(OR(Input!A7=""Fe2O3"",Input!A7=""FeO""),0,""""),Input!B7/SUM(Input!B$2:B$20)*100)",fe_handling_or_fe_related
Results,B17,"=IF(Input!B8="""",IF(OR(Input!A8=""Fe2O3"",Input!A8=""FeO""),0,""""),Input!B8/SUM(Input!B$2:B$20)*100)",fe_handling_or_fe_related
Results,B18,"=IF(Input!B9="""",IF(OR(Input!A9=""Fe2O3"",Input!A9=""FeO""),0,""""),Input!B9/SUM(Input!B$2:B$20)*100)",fe_handling_or_fe_related
Results,B19,"=IF(Input!B10="""",IF(OR(Input!A10=""Fe2O3"",Input!A10=""FeO""),0,""""),Input!B10/SUM(Input!B$2:B$20)*100)",fe_handling_or_fe_related
Results,B20,"=IF(Input!B11="""",IF(OR(Input!A11=""Fe2O3"",Input!A11=""FeO""),0,""""),Input!B11/SUM(Input!B$2:B$20)*100)",fe_handling_or_fe_related
Results,B21,"=IF(Input!B12="""",IF(OR(Input!A12=""Fe2O3"",Input!A12=""FeO""),0,""""),Input!B12/SUM(Input!B$2:B$20)*100)",fe_handling_or_fe_related
Results,B22,"=IF(Input!B13="""",IF(OR(Input!A13=""Fe2O3"",Input!A13=""FeO""),0,""""),Input!B13/SUM(Input!B$2:B$20)*100)",fe_handling_or_fe_related
Results,B23,"=IF(Input!B14="""",IF(OR(Input!A14=""Fe2O3"",Input!A14=""FeO""),0,""""),Input!B14/SUM(Input!B$2:B$20)*100)",fe_handling_or_fe_related
Results,D23,"=IF(C23="""","""",IFERROR((B23*B$2-C23*C$2)/(B$2-C$2),0))",fe_handling_or_fe_related
Results,B24,"=IF(Input!B15="""",IF(OR(Input!A15=""Fe2O3"",Input!A15=""FeO""),0,""""),Input!B15/SUM(Input!B$2:B$20)*100)",fe_handling_or_fe_related
Results,B25,"=IF(Input!B16="""",IF(OR(Input!A16=""Fe2O3"",Input!A16=""FeO""),0,""""),Input!B16/SUM(Input!B$2:B$20)*100)",fe_handling_or_fe_related
Results,B26,"=IF(Input!B17="""",IF(OR(Input!A17=""Fe2O3"",Input!A17=""FeO""),0,""""),Input!B17/SUM(Input!B$2:B$20)*100)",fe_handling_or_fe_related
