name,destinations,category
ExistingOxides,aux!$N:$N,lookup_auxiliary
Old_Model,aux!$P$2,lookup_auxiliary
Old_P,aux!$A$2,lookup_auxiliary
Old_T,aux!$B$2,lookup_auxiliary
Old_fO2,aux!$C$2,lookup_auxiliary
PT_Old_P,aux!$F$2,lookup_auxiliary
PT_Old_T,aux!$G$2,lookup_auxiliary
PT_Old_fO2,aux!$H$2,lookup_auxiliary
FractionateMass,Input!$I$5,other
LiquidComposition,Results!$C$11:$C$26,other
LiquidOxides,Results!$A$11:$A$26,other
SolidComposition,Results!$E$11:$G$26,other
SolidName,Results!$E$1:$G$1,other
SystemComposition,Results!$B$11:$B$26,other
TotalSolidsThermo,Results!$D$2:$D$10,other
log_fO2,Input!$E$4,other
LiquidThermo,Results!$C$2:$C$10,output_summary
PhaseSummary,Input!$H$8:$J$11,output_summary
SolidThermo,Results!$E$2:$G$10,output_summary
SystemThermo,Results!$B$2:$B$10,output_summary
ExistingPhases,aux!$K:$K,phase_control_or_list
IncludePhase,aux!$K$1:$L$33,phase_control_or_list
Phases,Input!$H$7:$J$27; Input!,phase_control_or_list
PotentialPhase,Input!$H$14:$J$38,phase_control_or_list
PotentialPhaseTitle,Input!$H$13:$J$13,phase_control_or_list
BulkComposition,Input!$B$2:$B$16,primary_io
Pressure,Input!$E$2,primary_io
Status,Input!$D$21,primary_io
Temperature,Input!$E$3,primary_io
Fract_var,Sequences!$B$15,ui_or_sequence_variable
H_var,Sequences!$B$32:$B$34,ui_or_sequence_variable
MinLiq_var,Sequences!$B$14,ui_or_sequence_variable
New_Ph4_var,Collect_P!$C$16,ui_or_sequence_variable
New_Ph5_var,Collect_P!$C$21,ui_or_sequence_variable
New_Ph_var,Collect_P!$C$8:$C$11,ui_or_sequence_variable
New_Tol_var,Collect_P!$C$26,ui_or_sequence_variable
P_var,Sequences!$B$6:$B$8,ui_or_sequence_variable
Ph_var,Sequences!$B$22:$B$25,ui_or_sequence_variable
S_var,Sequences!$B$52:$B$54,ui_or_sequence_variable
StartT_var,Sequences!$B$13,ui_or_sequence_variable
T_var,Sequences!$B$2:$B$4,ui_or_sequence_variable
V_var,Sequences!$B$42:$B$44,ui_or_sequence_variable
fO2_var,Sequences!$B$10:$B$10,ui_or_sequence_variable
