profile,pressure_mpa,step_index,temperature_c,calc_time_s,solid_phases
profile_a_unpatched,400.0,0,759,0.035613059997558594,Water
profile_a_unpatched,400.0,1,758.0,0.09563636779785156,"Quartz,Water"
profile_a_unpatched,400.0,2,757.0,0.08250808715820312,"Quartz,Water"
profile_a_unpatched,400.0,3,756.0,0.0674581527709961,"Quartz,Water"
profile_a_unpatched,400.0,4,755.0,0.06629610061645508,"Quartz,Water"
profile_a_unpatched,400.0,5,754.0,0.07438421249389648,"Quartz,Water"
profile_a_unpatched,400.0,6,753.0,0.0701608657836914,"Quartz,Water"
profile_a_unpatched,400.0,7,752.0,0.06396317481994629,"Quartz,Water"
profile_a_unpatched,400.0,8,751.0,0.06829690933227539,"Quartz,Water"
profile_a_unpatched,400.0,9,750.0,0.07481694221496582,"Quartz,Water"
profile_a_unpatched,400.0,10,749.0,0.06919384002685547,"Quartz,Water"
profile_a_unpatched,400.0,11,748.0,0.06607580184936523,"Quartz,Water"
profile_a_unpatched,400.0,12,747.0,0.08368587493896484,"Quartz,Water"
profile_a_unpatched,400.0,13,746.0,0.07132172584533691,"Quartz,Water"
profile_a_unpatched,400.0,14,745.0,0.06732487678527832,"Quartz,Water"
profile_a_unpatched,400.0,15,744.0,0.06814193725585938,"Quartz,Water"
profile_a_unpatched,400.0,16,743.0,0.08455181121826172,"Quartz,Water"
profile_a_unpatched,400.0,17,742.0,0.06593489646911621,"Quartz,Water"
profile_a_unpatched,400.0,18,741.0,0.06619691848754883,"Quartz,Water"
profile_a_unpatched,400.0,19,740.0,0.09310388565063477,"Quartz,Water"
profile_a_unpatched,400.0,20,739.0,0.06979799270629883,"Quartz,Water"
profile_a_unpatched,400.0,21,738.0,0.07175207138061523,"Quartz,Water"
profile_a_unpatched,400.0,22,737.0,0.06779313087463379,"Quartz,Water"
profile_a_unpatched,400.0,23,736.0,0.0693819522857666,"Quartz,Water"
profile_a_unpatched,400.0,24,735.0,0.06914687156677246,"Quartz,Water"
profile_a_unpatched,400.0,25,734.0,0.07079505920410156,"Quartz,Water"
profile_a_unpatched,400.0,26,733.0,0.07124996185302734,"Quartz,Water"
profile_a_unpatched,400.0,27,732.0,0.11737298965454102,"Feldspar,Quartz,Water"
profile_a_unpatched,400.0,28,731.0,0.10447096824645996,"Feldspar,Quartz,Water"
profile_a_unpatched,400.0,29,730.0,0.21530985832214355,"Feldspar,Feldspar_1,Quartz,Water"
profile_a_unpatched,400.0,30,729.0,0.16660714149475098,"Feldspar,Feldspar_1,Quartz,Water"
profile_a_unpatched,400.0,31,728.0,0.17398810386657715,"Feldspar,Feldspar_1,Quartz,Water"
profile_a_unpatched,400.0,32,727.0,0.16517210006713867,"Feldspar,Feldspar_1,Quartz,Water"
profile_a_unpatched,400.0,33,726.0,0.16464805603027344,"Feldspar,Feldspar_1,Quartz,Water"
profile_a_unpatched,400.0,34,725.0,0.23018908500671387,"Feldspar,Feldspar_1,Ilmenite ss,Quartz,Water"
profile_a_unpatched,400.0,35,724.0,0.39319300651550293,"Feldspar,Feldspar_1,Ilmenite ss,Quartz,Spinel,Water"
profile_a_unpatched,400.0,36,723.0,0.3574340343475342,"Feldspar,Feldspar_1,Ilmenite ss,Quartz,Spinel,Water"
profile_a_unpatched,400.0,37,722.0,0.4595158100128174,"Feldspar,Feldspar_1,Ilmenite ss,Quartz,Spinel,Water"
profile_a_unpatched,400.0,38,721.0,0.5730748176574707,"Feldspar,Feldspar_1,Ilmenite ss,Orthopyroxene,Quartz,Spinel,Water"
profile_a_unpatched,400.0,39,720.0,0.6204321384429932,"Feldspar,Feldspar_1,Ilmenite ss,Orthopyroxene,Quartz,Spinel,Water"
profile_a_unpatched,400.0,40,719.0,0.6929588317871094,"Feldspar,Feldspar_1,Ilmenite ss,Orthopyroxene,Quartz,Spinel,Water"
