profile,mode,total_success_steps,total_error_lines,num_pressure_paths,pressure_paths_with_data,temperature_sequence_success_monotonic_desc,min_success_T_C,max_success_T_C,profile_dir,stdout_log,elapsed_s,wall_s,helper_result,workbook_path,sheet_row_counts,num_data_points,num_pressure_steps,run_dir,manifest_csv_path,manifest_row,phase_availability_rows,pressure_analysis_rows,merged_long_rows
profile_a_unpatched,direct_worker,0.0,0.0,3.0,0.0,True,,,/Users/lopezama/PycharmProjects/sci-cluster/review_outputs/rmelts_diagnostics/kcp109b_tinygrid_patch_ab_20260225_180517/profile_a_unpatched/direct_worker,/Users/lopezama/PycharmProjects/sci-cluster/review_outputs/rmelts_diagnostics/kcp109b_tinygrid_patch_ab_20260225_180517/profile_a_unpatched/direct_worker/stdout_stderr_capture.log,0.9452481269836426,,,,,,,,,,,,
profile_b_stable_import_only,direct_worker,0.0,0.0,3.0,0.0,True,,,/Users/lopezama/PycharmProjects/sci-cluster/review_outputs/rmelts_diagnostics/kcp109b_tinygrid_patch_ab_20260225_180517/profile_b_stable_import_only/direct_worker,/Users/lopezama/PycharmProjects/sci-cluster/review_outputs/rmelts_diagnostics/kcp109b_tinygrid_patch_ab_20260225_180517/profile_b_stable_import_only/direct_worker/stdout_stderr_capture.log,0.7313230037689209,,,,,,,,,,,,
profile_c_liquidus_guard_only,direct_worker,0.0,0.0,3.0,0.0,True,,,/Users/lopezama/PycharmProjects/sci-cluster/review_outputs/rmelts_diagnostics/kcp109b_tinygrid_patch_ab_20260225_180517/profile_c_liquidus_guard_only/direct_worker,/Users/lopezama/PycharmProjects/sci-cluster/review_outputs/rmelts_diagnostics/kcp109b_tinygrid_patch_ab_20260225_180517/profile_c_liquidus_guard_only/direct_worker/stdout_stderr_capture.log,0.8041467666625977,,,,,,,,,,,,
profile_d_safe_execute_only,direct_worker,0.0,0.0,3.0,0.0,True,,,/Users/lopezama/PycharmProjects/sci-cluster/review_outputs/rmelts_diagnostics/kcp109b_tinygrid_patch_ab_20260225_180517/profile_d_safe_execute_only/direct_worker,/Users/lopezama/PycharmProjects/sci-cluster/review_outputs/rmelts_diagnostics/kcp109b_tinygrid_patch_ab_20260225_180517/profile_d_safe_execute_only/direct_worker/stdout_stderr_capture.log,0.7660517692565918,,,,,,,,,,,,
profile_e_current_full_patch,direct_worker,303.0,0.0,3.0,3.0,True,900.0,1000.0,/Users/lopezama/PycharmProjects/sci-cluster/review_outputs/rmelts_diagnostics/kcp109b_tinygrid_patch_ab_20260225_180517/profile_e_current_full_patch/direct_worker,/Users/lopezama/PycharmProjects/sci-cluster/review_outputs/rmelts_diagnostics/kcp109b_tinygrid_patch_ab_20260225_180517/profile_e_current_full_patch/direct_worker/stdout_stderr_capture.log,12.971312999725342,,,,,,,,,,,,
profile_f_corrected_timeout_progression,direct_worker,303.0,0.0,3.0,3.0,True,900.0,1000.0,/Users/lopezama/PycharmProjects/sci-cluster/review_outputs/rmelts_diagnostics/kcp109b_tinygrid_patch_ab_20260225_180517/profile_f_corrected_timeout_progression/direct_worker,/Users/lopezama/PycharmProjects/sci-cluster/review_outputs/rmelts_diagnostics/kcp109b_tinygrid_patch_ab_20260225_180517/profile_f_corrected_timeout_progression/direct_worker/stdout_stderr_capture.log,14.312420845031738,,,,,,,,,,,,
profile_a_unpatched,composition_level,,,,,,,,,,7.459985017776489,7.458893060684204,"{'label': 'KCP109B', 'error': ""Worksheet named 'quartz' not found""}",,{},,,,,,,,
profile_e_current_full_patch,composition_level,,,,,,,,,,9.147094964981079,9.127104997634888,"{'label': 'KCP109B', 'filename': 'parallel-results/Parallel_MELTS_KCP109B_dP100.0_02-25_11cores.xlsx', 'num_pressure_steps': 3, 'num_data_points': 303, 'P_QF': None, 'P_Q2F': None, 'total_time': 9.126788854598999, 'calc_time': 19.4785578250885}",/Users/lopezama/PycharmProjects/sci-cluster/review_outputs/rmelts_diagnostics/kcp109b_tinygrid_patch_ab_20260225_180517/profile_e_current_full_patch/composition_level/parallel-results/parallel-results/Parallel_MELTS_KCP109B_dP100.0_02-25_11cores.xlsx,{},303.0,3.0,,,,,,
profile_f_corrected_timeout_progression,composition_level,,,,,,,,,,7.302310228347778,7.275753021240234,"{'label': 'KCP109B', 'filename': 'parallel-results/Parallel_MELTS_KCP109B_dP100.0_02-25_11cores.xlsx', 'num_pressure_steps': 3, 'num_data_points': 303, 'P_QF': None, 'P_Q2F': None, 'total_time': 7.275391101837158, 'calc_time': 13.507783651351929}",/Users/lopezama/PycharmProjects/sci-cluster/review_outputs/rmelts_diagnostics/kcp109b_tinygrid_patch_ab_20260225_180517/profile_f_corrected_timeout_progression/composition_level/parallel-results/parallel-results/Parallel_MELTS_KCP109B_dP100.0_02-25_11cores.xlsx,{},303.0,3.0,,,,,,
profile_e_current_full_patch,pipeline,,,,,,,,,,7.373678922653198,7.329416990280151,,,"{'init_cond': 15, 'system': 304, 'liquid': 304, 'water': 304, 'Pressure Analysis': 5}",,,/Users/lopezama/PycharmProjects/sci-cluster/review_outputs/rmelts_diagnostics/kcp109b_tinygrid_patch_ab_20260225_180517/profile_e_current_full_patch/pipeline_level/pipeline_profile_e_current_full_patch/runs/20260225_180613,/Users/lopezama/PycharmProjects/sci-cluster/review_outputs/rmelts_diagnostics/kcp109b_tinygrid_patch_ab_20260225_180517/profile_e_current_full_patch/pipeline_level/pipeline_profile_e_current_full_patch/runs/20260225_180613/run_manifest.csv,"{'dataset_name': 'pipeline_profile_e_current_full_patch', 'sample_label': 'KCP109B', 'status': 'success', 'excel_path': '/Users/lopezama/PycharmProjects/sci-cluster/review_outputs/rmelts_diagnostics/kcp109b_tinygrid_patch_ab_20260225_180517/profile_e_current_full_patch/pipeline_level/pipeline_profile_e_current_full_patch/runs/20260225_180613/parallel-results/Parallel_MELTS_KCP109B_dP100.0_02-25_11cores.xlsx', 'helper_filename': 'parallel-results/Parallel_MELTS_KCP109B_dP100.0_02-25_11cores.xlsx', 'num_pressure_steps': 3, 'num_data_points': 303, 'P_QF': nan, 'P_Q2F': nan, 'melts_calc_time_s': nan, 'pressure_calc_time_s': nan, 'workbook_build_time_s': nan, 'runtime_log_version': 'rmp_runtime_v1', 'P_2phase_qtz_fsp_MPa': nan, 'Rmin_2phase_qtz_fsp_C': nan, 'fit_a_2phase': nan, 'fit_b_2phase': nan, 'fit_c_2phase': nan, 'P_3phase_qtz_fsp_fsp1_MPa': nan, 'Rmin_3phase_qtz_fsp_fsp1_C': nan, 'fit_a_3phase': nan, 'fit_b_3phase': nan, 'fit_c_3phase': nan, 'pressure_calc_method': 'helper_pressure_analysis_sheet', 'pressure_calc_error': nan, 'phase_sheet_quartz_present': False, 'phase_sheet_feldspar_present': False, 'phase_sheet_feldspar_1_present': False, 'total_time_s': 7.226787805557251, 'calc_time_s': 13.35897707939148, 'error': nan, 'run_dir': '/Users/lopezama/PycharmProjects/sci-cluster/review_outputs/rmelts_diagnostics/kcp109b_tinygrid_patch_ab_20260225_180517/profile_e_current_full_patch/pipeline_level/pipeline_profile_e_current_full_patch/runs/20260225_180613', 'melts_input_csv_path': '/Users/lopezama/PycharmProjects/sci-cluster/review_outputs/rmelts_diagnostics/kcp109b_tinygrid_patch_ab_20260225_180517/profile_e_current_full_patch/pipeline_level/pipeline_profile_e_current_full_patch/runs/20260225_180613/melts_input.csv'}",5.0,1.0,606.0
