solid_phase_names,has_quartz,has_feldspar,has_feldspar_1,temperature_C,step_index,pressure_MPa,calc_time_s
,False,False,False,882.0,551,50.0,
,False,False,False,881.0,552,50.0,
,False,False,False,880.0,553,50.0,
,False,False,False,879.0,554,50.0,
,False,False,False,878.0,555,50.0,
,False,False,False,877.0,556,50.0,
,False,False,False,876.0,557,50.0,
Feldspar,False,True,False,875.0,558,50.0,
Feldspar,False,True,False,874.0,559,50.0,
Feldspar,False,True,False,873.0,560,50.0,
Feldspar,False,True,False,872.0,561,50.0,
Feldspar,False,True,False,871.0,562,50.0,
Feldspar,False,True,False,870.0,563,50.0,
Feldspar,False,True,False,869.0,564,50.0,
Feldspar,False,True,False,868.0,565,50.0,
Feldspar,False,True,False,867.0,566,50.0,
Feldspar,False,True,False,866.0,567,50.0,
Feldspar,False,True,False,865.0,568,50.0,
Feldspar,False,True,False,864.0,569,50.0,
Feldspar,False,True,False,863.0,570,50.0,
Feldspar,False,True,False,862.0,571,50.0,
Feldspar,False,True,False,861.0,572,50.0,
Feldspar,False,True,False,860.0,573,50.0,
Feldspar,False,True,False,859.0,574,50.0,
Feldspar,False,True,False,858.0,575,50.0,
Feldspar,False,True,False,857.0,576,50.0,
Feldspar,False,True,False,856.0,577,50.0,
Feldspar,False,True,False,855.0,578,50.0,
Feldspar,False,True,False,854.0,579,50.0,
Feldspar,False,True,False,853.0,580,50.0,
Feldspar,False,True,False,852.0,581,50.0,
Feldspar,False,True,False,851.0,582,50.0,
Feldspar,False,True,False,850.0,583,50.0,
Feldspar,False,True,False,849.0,584,50.0,
Feldspar,False,True,False,848.0,585,50.0,
Feldspar,False,True,False,847.0,586,50.0,
Feldspar,False,True,False,846.0,587,50.0,
Feldspar,False,True,False,845.0,588,50.0,
Feldspar,False,True,False,844.0,589,50.0,
Feldspar,False,True,False,843.0,590,50.0,
Feldspar,False,True,False,842.0,591,50.0,
"Feldspar,Quartz",True,True,False,841.0,592,50.0,
"Feldspar,Quartz",True,True,False,840.0,593,50.0,
"Feldspar,Quartz",True,True,False,839.0,594,50.0,
"Feldspar,Quartz",True,True,False,838.0,595,50.0,
"Feldspar,Quartz",True,True,False,837.0,596,50.0,
"Feldspar,Quartz",True,True,False,836.0,597,50.0,
"Feldspar,Quartz",True,True,False,835.0,598,50.0,
"Feldspar,Quartz",True,True,False,834.0,599,50.0,
"Feldspar,Quartz",True,True,False,833.0,600,50.0,
"Feldspar,Quartz",True,True,False,832.0,601,50.0,
"Feldspar,Quartz",True,True,False,831.0,602,50.0,
"Feldspar,Quartz",True,True,False,830.0,603,50.0,
"Feldspar,Quartz",True,True,False,829.0,604,50.0,
"Feldspar,Quartz",True,True,False,828.0,605,50.0,
"Feldspar,Quartz",True,True,False,827.0,606,50.0,
"Feldspar,Quartz",True,True,False,826.0,607,50.0,
"Feldspar,Quartz",True,True,False,825.0,608,50.0,
"Feldspar,Quartz",True,True,False,824.0,609,50.0,
"Feldspar,Feldspar_1,Quartz",True,True,True,823.0,610,50.0,
"Feldspar,Feldspar_1,Quartz",True,True,True,822.0,611,50.0,
"Feldspar,Feldspar_1,Quartz",True,True,True,821.0,612,50.0,
"Feldspar,Feldspar_1,Quartz",True,True,True,820.0,613,50.0,
"Feldspar,Feldspar_1,Quartz",True,True,True,819.0,614,50.0,
"Feldspar,Feldspar_1,Quartz",True,True,True,818.0,615,50.0,
"Feldspar,Feldspar_1,Quartz",True,True,True,817.0,616,50.0,
