temperature_C,liam_row_present,patched_row_present,liam_solid_phase_names,patched_solid_phase_names,liam_has_quartz,patched_has_quartz,liam_has_feldspar,patched_has_feldspar,liam_has_feldspar_1,patched_has_feldspar_1,same_phase_set
851.0,True,False,,,False,,False,,False,,False
850.0,True,False,,,False,,False,,False,,False
849.0,True,False,,,False,,False,,False,,False
848.0,True,False,,,False,,False,,False,,False
847.0,True,False,,,False,,False,,False,,False
846.0,True,False,,,False,,False,,False,,False
845.0,True,False,Feldspar,,False,,True,,False,,False
844.0,True,False,Feldspar,,False,,True,,False,,False
843.0,True,False,Feldspar,,False,,True,,False,,False
842.0,True,False,Feldspar,,False,,True,,False,,False
841.0,True,False,Feldspar,,False,,True,,False,,False
840.0,True,False,Feldspar,,False,,True,,False,,False
839.0,True,False,Feldspar,,False,,True,,False,,False
838.0,True,False,Feldspar,,False,,True,,False,,False
837.0,True,False,Feldspar,,False,,True,,False,,False
836.0,True,False,Feldspar,,False,,True,,False,,False
835.0,True,False,Feldspar,,False,,True,,False,,False
834.0,True,False,Feldspar,,False,,True,,False,,False
833.0,True,False,Feldspar,,False,,True,,False,,False
832.0,True,False,Feldspar,,False,,True,,False,,False
831.0,True,False,Feldspar,,False,,True,,False,,False
830.0,True,False,Feldspar,,False,,True,,False,,False
829.0,True,False,Feldspar,,False,,True,,False,,False
828.0,True,False,Feldspar,,False,,True,,False,,False
827.0,True,False,Feldspar,,False,,True,,False,,False
826.0,True,False,Feldspar,,False,,True,,False,,False
825.0,True,False,Feldspar,,False,,True,,False,,False
824.0,True,False,Feldspar,,False,,True,,False,,False
823.0,True,False,Feldspar,,False,,True,,False,,False
822.0,True,False,Feldspar,,False,,True,,False,,False
821.0,True,False,Feldspar,,False,,True,,False,,False
820.0,True,False,Feldspar,,False,,True,,False,,False
819.0,True,False,Feldspar,,False,,True,,False,,False
818.0,True,False,Feldspar,,False,,True,,False,,False
817.0,True,False,Feldspar,,False,,True,,False,,False
816.0,True,False,Feldspar,,False,,True,,False,,False
815.0,True,False,Feldspar,,False,,True,,False,,False
814.0,True,False,"Feldspar,Quartz",,True,,True,,False,,False
813.0,True,False,"Feldspar,Quartz",,True,,True,,False,,False
812.0,True,False,"Feldspar,Quartz",,True,,True,,False,,False
811.0,True,False,"Feldspar,Quartz",,True,,True,,False,,False
810.0,True,False,"Feldspar,Quartz",,True,,True,,False,,False
809.0,True,False,"Feldspar,Quartz",,True,,True,,False,,False
808.0,True,False,"Feldspar,Quartz",,True,,True,,False,,False
807.0,True,False,"Feldspar,Quartz",,True,,True,,False,,False
806.0,True,False,"Feldspar,Quartz",,True,,True,,False,,False
805.0,True,False,"Feldspar,Quartz",,True,,True,,False,,False
804.0,True,False,"Feldspar,Quartz",,True,,True,,False,,False
803.0,True,False,"Feldspar,Quartz",,True,,True,,False,,False
802.0,True,False,"Feldspar,Quartz",,True,,True,,False,,False
801.0,True,False,"Feldspar,Quartz",,True,,True,,False,,False
800.0,True,False,"Feldspar,Feldspar_1,Quartz",,True,,True,,True,,False
799.0,True,False,"Feldspar,Feldspar_1,Quartz",,True,,True,,True,,False
798.0,True,False,"Feldspar,Feldspar_1,Quartz",,True,,True,,True,,False
797.0,True,False,"Feldspar,Feldspar_1,Quartz",,True,,True,,True,,False
796.0,True,False,"Feldspar,Feldspar_1,Quartz",,True,,True,,True,,False
795.0,True,False,"Feldspar,Feldspar_1,Quartz",,True,,True,,True,,False
794.0,True,False,"Feldspar,Feldspar_1,Quartz",,True,,True,,True,,False
