row,liam_init_cond,pipeline_norm_kcp109c,pipeline_liam_exact,delta_norm_minus_liam,delta_exact_minus_liam
SiO2,75.82,76.8015234699459,75.82,0.9815234699459126,0.0
TiO2,0.082,0.0830615263061931,0.082,0.0010615263061930919,0.0
Al2O3,12.95,13.117643483721965,12.95,0.16764348372196558,0.0
Fe2O3,0.18,0.0,0.18,-0.18,0.0
Cr2O3,0.0,0.0,0.0,0.0,0.0
FeO,0.49,0.668543992220579,0.49,0.17854399222057904,0.0
MnO,0.031,0.031401308725512,0.031,0.0004013087255120007,0.0
MgO,0.09,0.0911650898482607,0.09,0.0011650898482607058,0.0
NiO,0.0,0.0,0.0,0.0,0.0
CoO,0.0,0.0,0.0,0.0,0.0
CaO,0.7,0.709061809930917,0.7,0.009061809930917097,0.0
Na2O,4.37,4.42657158485444,4.37,0.05657158485443947,0.0
K2O,4.01,4.0619112254613965,4.01,0.051911225461396704,0.0
P2O5,0.009,0.009116508984826,0.009,0.00011650898482600154,0.0
H2O,13.0,13.0,13.0,0.0,0.0
