row,liam_reference,pipeline_norm_input,pipeline_exact_input
SiO2,75.82,76.8015234699459,75.82
TiO2,0.082,0.0830615263061931,0.082
Al2O3,12.95,13.117643483721965,12.95
Fe2O3,0.18,0.0,0.18
Cr2O3,0,0.0,0.0
FeO,0.49,0.668543992220579,0.49
MnO,0.031,0.031401308725512,0.031
MgO,0.09,0.0911650898482607,0.09
NiO,0,0.0,0.0
CoO,0,0.0,0.0
CaO,0.7,0.709061809930917,0.7
Na2O,4.37,4.42657158485444,4.37
K2O,4.01,4.0619112254613965,4.01
P2O5,0.009,0.009116508984826,0.009
H2O,13,13.0,13.0
Model,rhyolite-MELTS,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x
Calculation,QF_P_Calc,QF_P_Calc,QF_P_Calc
T1,1100,1100.0,1100.0
T2,700,700.0,700.0
ΔT,1,1.0,1.0
P1,400,400.0,400.0
P2,50,50.0,50.0
ΔP,25,25.0,25.0
fO2 buffer,NNO,NNO,NNO
fO2 offset,0,0.0,0.0
