SampleID,SiO2,TiO2,Al2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,P2O5,dry_total_original,dry_total_preserved,H2O
KCP109C,75.82,0.082,12.95,0.66,0.031,0.09,0.7,4.37,4.01,0.009,98.72200000000001,98.72200000000001,13.0
KCP109B,76.36,0.069,12.65,0.52,0.024,0.05,0.54,3.97,4.61,0.006,98.799,98.799,13.0
KCP109A,76.62,0.079,12.48,0.62,0.026,0.06,0.53,3.98,4.46,0.004,98.85900000000001,98.85900000000001,13.0
KHD-106-A,75.8,0.131,12.9,1.1,0.035,0.16,1.06,3.21,4.98,0.052,99.428,99.428,13.0
KHD-105-G,76.23,0.058,13.05,0.45,0.005,0.05,0.96,3.08,5.43,0.005,99.31799999999998,99.31799999999998,13.0
KHD-105-D,76.07,0.092,13.07,0.64,0.008,0.08,1.04,3.43,4.85,0.01,99.29,99.29,13.0
KHD-105-E,76.36,0.091,12.95,0.59,0.008,0.07,0.9,3.23,5.34,0.008,99.547,99.547,13.0
KKC-103-A,76.42,0.079,12.86,0.5,0.006,0.06,1.01,2.84,5.62,0.034,99.42900000000002,99.42900000000002,13.0
KHD-105-B,76.19,0.076,12.98,0.59,0.007,0.07,1.0,2.95,5.54,0.014,99.417,99.417,13.0
KHD-105-F,71.78,0.249,14.62,2.03,0.042,0.37,2.17,3.79,4.13,0.083,99.26400000000001,99.26400000000001,13.0
KHD-107-C,74.33,0.173,13.45,1.39,0.02,0.25,1.46,3.11,5.22,0.059,99.46199999999999,99.46199999999999,13.0
KCP-114-A,76.1,0.133,12.93,0.83,0.022,0.19,1.14,3.47,4.63,0.044,99.48899999999998,99.48899999999998,13.0
KHD-107-A,75.45,0.091,13.13,0.8,0.016,0.09,0.96,2.94,5.91,0.028,99.41499999999999,99.41499999999999,13.0
KHD-107-D,75.43,0.141,13.06,0.79,0.014,0.22,1.17,2.74,5.82,0.035,99.42000000000002,99.42000000000002,13.0
KHD-105-B-2,76.12,0.095,12.82,0.85,0.01,0.12,0.94,2.81,5.67,0.013,99.44800000000001,99.44800000000001,13.0
