Index,T_C,P_MPa,deltaQFM,Mass_g,Density_g_cm3,G_kJ,H_kJ,S_J_per_K,Cp_J_per_K,V_cm3,alpha_1_per_K,beta_1_per_bar,d2V/dT2,d2V/dP2,d2V/dTdP,Outcome,SiO2_wt_pct,TiO2_wt_pct,Al2O3_wt_pct,Fe2O3_wt_pct,Cr2O3_wt_pct,FeO_wt_pct,MnO_wt_pct,MgO_wt_pct,NiO_wt_pct,CoO_wt_pct,CaO_wt_pct,Na2O_wt_pct,K2O_wt_pct,P2O5_wt_pct,H2O_wt_pct,CO2_wt_pct,SO3_wt_pct,Cl2O-1_wt_pct,F2O-1_wt_pct,sample_label,source_excel,phase,phase_sheet_name
34,743,400,0,0.2821529075583847,2.624390283910897,-4.57043219744325,-3.980503762498806,0.5805525118776204,0.3438792327751455,0.01075117939919809,2.946141567133249e-05,1.685652141778141e-06,-5.822198060642065e-10,8.641783265406666e-14,1.926445711670979e-12,Success,60.13618871956729,0,25.08785266959233,0,0,0,0,0,0,0,6.665894576078376,7.44600130849707,0.6640627262649121,0,0,0,0,0,0,KCP109C,/Users/lopezama/PycharmProjects/sci-cluster/review_outputs/rmelts_parity_audit_v2/2026-02-26/kcp109c_phase7_parity_20260225_222731/runs/kcp109c_phase7_parity_liam_exact/runs/20260225_222731/parallel-results/Parallel_MELTS_KCP109C_dP25.0_02-25_11cores.xlsx,feldspar,feldspar
35,742,400,0,0.6367820745074965,2.623311687471,-10.3124407816333,-8.982562435391724,1.310031370971356,0.7767878098791794,0.02427397695625659,2.961766991599721e-05,1.689629278544468e-06,-1.369730415267003e-09,1.951544253571617e-13,4.506548436035702e-12,Success,60.28851924728851,0,24.98019100155017,0,0,0,0,0,0,0,6.541528647208273,7.503208601692733,0.6865525022603249,0,0,0,0,0,0,KCP109C,/Users/lopezama/PycharmProjects/sci-cluster/review_outputs/rmelts_parity_audit_v2/2026-02-26/kcp109c_phase7_parity_20260225_222731/runs/kcp109c_phase7_parity_liam_exact/runs/20260225_222731/parallel-results/Parallel_MELTS_KCP109C_dP25.0_02-25_11cores.xlsx,feldspar,feldspar
36,741,400,0,0.9965580161604691,2.622227664237723,-16.13502242085848,-14.05614940774566,2.049867389550677,1.216788048937291,0.03800425225283278,2.977606928281446e-05,1.69360561075969e-06,-2.234016034388744e-09,3.055819300730046e-13,7.310060727429428e-12,Success,60.44083117410998,0,24.87230347403974,0,0,0,0,0,0,0,6.416980722193779,7.559782150684528,0.7101024789719655,0,0,0,0,0,0,KCP109C,/Users/lopezama/PycharmProjects/sci-cluster/review_outputs/rmelts_parity_audit_v2/2026-02-26/kcp109c_phase7_parity_20260225_222731/runs/kcp109c_phase7_parity_liam_exact/runs/20260225_222731/parallel-results/Parallel_MELTS_KCP109C_dP25.0_02-25_11cores.xlsx,feldspar,feldspar
37,740,400,0,1.362021778613684,2.621137410384614,-22.04680696231618,-19.20881128002243,2.801160422734779,1.66459288036212,0.05196300557221938,2.993666624002995e-05,1.697581550971959e-06,-3.181290726054392e-09,4.178451084255997e-13,1.035491857333633e-11,Success,60.59315225547779,0,24.76414884687016,0,0,0,0,0,0,0,6.292210301155134,7.615675674024811,0.7348129224721097,0,0,0,0,0,0,KCP109C,/Users/lopezama/PycharmProjects/sci-cluster/review_outputs/rmelts_parity_audit_v2/2026-02-26/kcp109c_phase7_parity_20260225_222731/runs/kcp109c_phase7_parity_liam_exact/runs/20260225_222731/parallel-results/Parallel_MELTS_KCP109C_dP25.0_02-25_11cores.xlsx,feldspar,feldspar
38,739,400,0,1.733767572986976,2.620040020114344,-28.05726648284494,-24.44883146621648,3.565118822929858,2.120984968521025,0.06617332405904666,3.009951950340242e-05,1.701557711711903e-06,-4.218326485191253e-09,5.321046151063665e-13,1.366065225652572e-11,Success,60.74551948249298,0,24.65567932198472,0,0,0,0,0,0,0,6.167169318910251,7.670846278861913,0.7607855977501268,0,0,0,0,0,0,KCP109C,/Users/lopezama/PycharmProjects/sci-cluster/review_outputs/rmelts_parity_audit_v2/2026-02-26/kcp109c_phase7_parity_20260225_222731/runs/kcp109c_phase7_parity_liam_exact/runs/20260225_222731/parallel-results/Parallel_MELTS_KCP109C_dP25.0_02-25_11cores.xlsx,feldspar,feldspar
39,738,400,0,2.112447517997391,2.618934555327729,-34.17678991948164,-29.78529572149966,4.343068978867608,2.586823018433222,0.08066056915015361,3.026468444702936e-05,1.705534614194748e-06,-5.352504617542293e-09,6.485384464256719e-13,1.724853065910885e-11,Success,60.89796783752164,0,24.54684760406967,0,0,0,0,0,0,0,6.041810593752056,7.725247913379289,0.7881260512773426,0,0,0,0,0,0,KCP109C,/Users/lopezama/PycharmProjects/sci-cluster/review_outputs/rmelts_parity_audit_v2/2026-02-26/kcp109c_phase7_parity_20260225_222731/runs/kcp109c_phase7_parity_liam_exact/runs/20260225_222731/parallel-results/Parallel_MELTS_KCP109C_dP25.0_02-25_11cores.xlsx,feldspar,feldspar
40,737,400,0,2.498777688669018,2.617819955200341,-40.41677691691592,-35.22817413820884,5.136467632239848,3.063049635714874,0.09545261826372574,3.043220998692772e-05,1.709512773740635e-06,-6.591869411787283e-09,7.673440281890555e-13,2.114171202589404e-11,Success,61.05053566133817,0,24.43760031783179,0,0,0,0,0,0,0,5.916081144296017,7.778826067554649,0.8169568089793556,0,0,0,0,0,0,KCP109C,/Users/lopezama/PycharmProjects/sci-cluster/review_outputs/rmelts_parity_audit_v2/2026-02-26/kcp109c_phase7_parity_20260225_222731/runs/kcp109c_phase7_parity_liam_exact/runs/20260225_222731/parallel-results/Parallel_MELTS_KCP109C_dP25.0_02-25_11cores.xlsx,feldspar,feldspar
41,736,400,0,2.893586300846862,2.616694868779466,-46.79041195369874,-40.78899584510476,5.947001048995674,3.550751122770333,0.1105817241196544,3.060214906583962e-05,1.713493149724483e-06,-7.945307444545929e-09,8.887535380887378e-13,2.536579143476811e-11,Success,61.20328387738432,0,24.32786369526501,0,0,0,0,0,0,0,5.789905895647849,7.831523089659116,0.8474234420437001,0,0,0,0,0,0,KCP109C,/Users/lopezama/PycharmProjects/sci-cluster/review_outputs/rmelts_parity_audit_v2/2026-02-26/kcp109c_phase7_parity_20260225_222731/runs/kcp109c_phase7_parity_liam_exact/runs/20260225_222731/parallel-results/Parallel_MELTS_KCP109C_dP25.0_02-25_11cores.xlsx,feldspar,feldspar
42,735,400,0,3.297744568874372,2.615557982965239,-53.31154271748117,-46.47987262830571,6.776442086173155,4.05107308109381,0.126081875850282,3.077453118089153e-05,1.717476118035688e-06,-9.422402887242055e-09,1.013012427877225e-12,2.994831267487599e-11,Success,61.35625385820283,0,24.21757409809644,0,0,0,0,0,0,0,5.66322269194388,7.883264314088084,0.87968503766879,0,0,0,0,0,0,KCP109C,/Users/lopezama/PycharmProjects/sci-cluster/review_outputs/rmelts_parity_audit_v2/2026-02-26/kcp109c_phase7_parity_20260225_222731/runs/kcp109c_phase7_parity_liam_exact/runs/20260225_222731/parallel-results/Parallel_MELTS_KCP109C_dP25.0_02-25_11cores.xlsx,feldspar,feldspar
43,734,400,0,3.712284089604243,2.614407786894018,-59.99657234228673,-52.31514853504017,7.626891532787135,4.565365405718627,0.1419933075556866,3.094938126754091e-05,1.721462189409444e-06,-1.103382121963222e-08,1.140416099007901e-12,3.491996053371275e-11,Success,61.5094971640744,0,24.10665699299345,0,0,0,0,0,0,0,5.535958011635044,7.933969212293583,0.9139186190035148,0,0,0,0,0,0,KCP109C,/Users/lopezama/PycharmProjects/sci-cluster/review_outputs/rmelts_parity_audit_v2/2026-02-26/kcp109c_phase7_parity_20260225_222731/runs/kcp109c_phase7_parity_liam_exact/runs/20260225_222731/parallel-results/Parallel_MELTS_KCP109C_dP25.0_02-25_11cores.xlsx,feldspar,feldspar
44,733,400,0,4.138345196216419,2.613242339711987,-66.86361151311048,-58.31066033215254,8.500672047863581,5.09511956358918,0.1583605597279783,3.112671441765937e-05,1.725452258318639e-06,-1.279122432687719e-08,1.271295321015402e-12,4.031425502444445e-11,Success,61.66309033441854,0,23.99501048143872,0,0,0,0,0,0,0,5.408009928122605,7.983541171288958,0.9503480847311555,0,0,0,0,0,0,KCP109C,/Users/lopezama/PycharmProjects/sci-cluster/review_outputs/rmelts_parity_audit_v2/2026-02-26/kcp109c_phase7_parity_20260225_222731/runs/kcp109c_phase7_parity_liam_exact/runs/20260225_222731/parallel-results/Parallel_MELTS_KCP109C_dP25.0_02-25_11cores.xlsx,feldspar,feldspar
45,732,400,0,4.577230367912141,2.612059416235043,-73.93333443073846,-64.48448488767612,9.400437291013619,5.642035160904749,0.1752345425017034,3.13065291665149e-05,1.729447241216454e-06,-1.470749091298673e-08,1.406033047535363e-12,4.616821329271584e-11,Success,61.81711926914915,0,23.8825187534776,0,0,0,0,0,0,0,5.279262853604416,8.031867961256227,0.9892311625126077,0,0,0,0,0,0,KCP109C,/Users/lopezama/PycharmProjects/sci-cluster/review_outputs/rmelts_parity_audit_v2/2026-02-26/kcp109c_phase7_parity_20260225_222731/runs/kcp109c_phase7_parity_liam_exact/runs/20260225_222731/parallel-results/Parallel_MELTS_KCP109C_dP25.0_02-25_11cores.xlsx,feldspar,feldspar
46,731,400,0,5.03047577178281,2.61085658893163,-81.23012351304544,-70.85793887754097,10.3293179659458,6.208108951657884,0.1926753002485401,3.148879399013043e-05,1.733447699354892e-06,-1.679701259357028e-08,1.545087008666891e-12,5.252323999664445e-11,Success,61.97166496538329,0,23.76906143195712,0,0,0,0,0,0,0,5.149598576283995,8.07881444754889,1.030860578826699,0,0,0,0,0,0,KCP109C,/Users/lopezama/PycharmProjects/sci-cluster/review_outputs/rmelts_parity_audit_v2/2026-02-26/kcp109c_phase7_parity_20260225_222731/runs/kcp109c_phase7_parity_liam_exact/runs/20260225_222731/parallel-results/Parallel_MELTS_KCP109C_dP25.0_02-25_11cores.xlsx,feldspar,feldspar
47,730,400,0,5.499827643607794,2.609630751148186,-88.78166433596516,-77.45522429164858,11.2908737918722,6.795607039925903,0.2107511816063625,3.167345917883523e-05,1.737454761010271e-06,-1.90757126564865e-08,1.688985271800951e-12,5.942513402547556e-11,Success,62.12684696326912,0,23.65447655953335,0,0,0,0,0,0,0,5.018855586867081,8.1242223672775,1.075598523052947,0,0,0,0,0,0,KCP109C,/Users/lopezama/PycharmProjects/sci-cluster/review_outputs/rmelts_parity_audit_v2/2026-02-26/kcp109c_phase7_parity_20260225_222731/runs/kcp109c_phase7_parity_liam_exact/runs/20260225_222731/parallel-results/Parallel_MELTS_KCP109C_dP25.0_02-25_11cores.xlsx,feldspar,feldspar
48,729,400,0,5.987387955900943,2.608378196371387,-96.6212759793782,-84.30546235023007,12.28939143755739,7.407245433867003,0.2295444718956103,3.186043422497935e-05,1.741469561744956e-06,-2.15616054780485e-08,1.838372736225078e-12,6.69257880798442e-11,Success,62.28280347738038,0,23.53857237428575,0,0,0,0,0,0,0,4.886843429592818,8.167896923374544,1.123883795366511,0,0,0,0,0,0,KCP109C,/Users/lopezama/PycharmProjects/sci-cluster/review_outputs/rmelts_parity_audit_v2/2026-02-26/kcp109c_phase7_parity_20260225_222731/runs/kcp109c_phase7_parity_liam_exact/runs/20260225_222731/parallel-results/Parallel_MELTS_KCP109C_dP25.0_02-25_11cores.xlsx,feldspar,feldspar
49,728,400,0,6.495649033447339,2.607094381622871,-104.788437240625,-91.44315280554852,13.32995498684157,8.046234433676773,0.2491528146903493,3.204958489505809e-05,1.74549351366291e-06,-2.427504367260519e-08,1.994025091061648e-12,7.508388828360661e-11,Success,62.43970718460969,0,23.42111232663733,0,0,0,0,0,0,0,4.753326657181179,8.209602683777014,1.176251147794784,0,0,0,0,0,0,KCP109C,/Users/lopezama/PycharmProjects/sci-cluster/review_outputs/rmelts_parity_audit_v2/2026-02-26/kcp109c_phase7_parity_20260225_222731/runs/kcp109c_phase7_parity_liam_exact/runs/20260225_222731/parallel-results/Parallel_MELTS_KCP109C_dP25.0_02-25_11cores.xlsx,feldspar,feldspar
50,727,400,0,7.375364602333647,2.605332269966469,-118.9378990622968,-103.8010736242912,15.13455525471732,9.15022963044158,0.2830872932160998,3.229283329916944e-05,1.751106656279323e-06,-2.870518130557103e-08,2.26514465856908e-12,8.845926808637641e-11,Success,62.66092487611704,0,23.26018407909464,0,0,0,0,0,0,0,4.568941510655282,8.280670901372929,1.2292786327601,0,0,0,0,0,0,KCP109C,/Users/lopezama/PycharmProjects/sci-cluster/review_outputs/rmelts_parity_audit_v2/2026-02-26/kcp109c_phase7_parity_20260225_222731/runs/kcp109c_phase7_parity_liam_exact/runs/20260225_222731/parallel-results/Parallel_MELTS_KCP109C_dP25.0_02-25_11cores.xlsx,feldspar,feldspar
51,726,400,0,8.79016042107284,2.602964773943879,-141.7015201405491,-123.6763390918089,18.04051548690407,10.92709520994794,0.3376980168561574,3.261062498492398e-05,1.75882809670275e-06,-3.580934735336582e-08,2.703029921173895e-12,1.099172748572437e-10,Success,62.96679630839866,0,23.04336267119129,0,0,0,0,0,0,0,4.318691305787056,8.393854858503605,1.277294856119386,0,0,0,0,0,0,KCP109C,/Users/lopezama/PycharmProjects/sci-cluster/review_outputs/rmelts_parity_audit_v2/2026-02-26/kcp109c_phase7_parity_20260225_222731/runs/kcp109c_phase7_parity_liam_exact/runs/20260225_222731/parallel-results/Parallel_MELTS_KCP109C_dP25.0_02-25_11cores.xlsx,feldspar,feldspar
52,725,400,0,10.61564516382523,2.600028626932111,-171.0541246073296,-149.3010219256714,21.793420509601,13.22568685855243,0.4082895493481971,3.297538534028816e-05,1.768059396007469e-06,-4.53558551494916e-08,3.271355915808414e-12,1.386686784608009e-10,Success,63.33741524891898,0,22.77919353791886,0,0,0,0,0,0,0,4.014270922516903,8.527194069975303,1.341926220669945,0,0,0,0,0,0,KCP109C,/Users/lopezama/PycharmProjects/sci-cluster/review_outputs/rmelts_parity_audit_v2/2026-02-26/kcp109c_phase7_parity_20260225_222731/runs/kcp109c_phase7_parity_liam_exact/runs/20260225_222731/parallel-results/Parallel_MELTS_KCP109C_dP25.0_02-25_11cores.xlsx,feldspar,feldspar
53,724,400,0,12.70123806096053,2.596890261397481,-204.5621412007663,-178.553383276591,26.0830947441963,15.86057069931206,0.4890941388538126,3.33532474325136e-05,1.777640006893603e-06,-5.688861898084198e-08,3.923283104172497e-12,1.732639037025823e-10,Success,63.7251505192535,0,22.5011340855124,0,0,0,0,0,0,0,3.694397055403968,8.662259068317132,1.417059271513002,0,0,0,0,0,0,KCP109C,/Users/lopezama/PycharmProjects/sci-cluster/review_outputs/rmelts_parity_audit_v2/2026-02-26/kcp109c_phase7_parity_20260225_222731/runs/kcp109c_phase7_parity_liam_exact/runs/20260225_222731/parallel-results/Parallel_MELTS_KCP109C_dP25.0_02-25_11cores.xlsx,feldspar,feldspar
