Index,T_C,P_MPa,deltaQFM,Mass_g,Density_g_cm3,G_kJ,H_kJ,S_J_per_K,Cp_J_per_K,V_cm3,alpha_1_per_K,beta_1_per_bar,d2V/dT2,d2V/dP2,d2V/dTdP,Outcome,SiO2_wt_pct,TiO2_wt_pct,Al2O3_wt_pct,Fe2O3_wt_pct,Cr2O3_wt_pct,FeO_wt_pct,MnO_wt_pct,MgO_wt_pct,NiO_wt_pct,CoO_wt_pct,CaO_wt_pct,Na2O_wt_pct,K2O_wt_pct,P2O5_wt_pct,H2O_wt_pct,CO2_wt_pct,SO3_wt_pct,Cl2O-1_wt_pct,F2O-1_wt_pct,sample_label,source_excel,phase,phase_sheet_name
50,727,400,0,1.229518493405919,2.532025881491631,-19.15485675636459,-16.67343045699356,2.48105414124984,1.459200128144706,0.04855868584888248,2.826690056792903e-05,1.773095410936218e-06,-1.664104604330035e-09,4.625424148736258e-13,5.731029504554204e-12,Success,65.57106406816841,0,18.85612221757312,0,0,0,0,0,0,0,0.2565098352900015,3.218156501591792,12.09814737737669,0,0,0,0,0,0,KCP109C,/Users/lopezama/PycharmProjects/sci-cluster/review_outputs/rmelts_parity_audit_v2/2026-02-26/kcp109c_phase7_parity_20260225_222731/runs/kcp109c_phase7_parity_liam_exact/runs/20260225_222731/parallel-results/Parallel_MELTS_KCP109C_dP25.0_02-25_11cores.xlsx,feldspar_1,feldspar_1
51,726,400,0,4.197689275677762,2.531978984780012,-65.41037584453407,-56.94757301247354,8.470002334044468,4.987305180342001,0.1657868924232984,2.838852680869497e-05,1.774273910176783e-06,-6.058307135888567e-09,1.575511621916152e-12,2.063441979400461e-11,Success,65.6044181850859,0,18.85887826070729,0,0,0,0,0,0,0,0.2510009366571256,3.299727926864086,11.98597469068559,0,0,0,0,0,0,KCP109C,/Users/lopezama/PycharmProjects/sci-cluster/review_outputs/rmelts_parity_audit_v2/2026-02-26/kcp109c_phase7_parity_20260225_222731/runs/kcp109c_phase7_parity_liam_exact/runs/20260225_222731/parallel-results/Parallel_MELTS_KCP109C_dP25.0_02-25_11cores.xlsx,feldspar_1,feldspar_1
52,725,400,0,7.647703705924796,2.531919834517038,-119.2076813871925,-103.8036146709853,15.43261705776404,9.098599224117335,0.30205157373727,2.853926356401779e-05,1.775762107601313e-06,-1.184941173377125e-08,2.862378882221402e-12,3.989518379559498e-11,Success,65.64709816662466,0,18.86289574176367,0,0,0,0,0,0,0,0.2443566923178055,3.405394021082788,11.84025537821108,0,0,0,0,0,0,KCP109C,/Users/lopezama/PycharmProjects/sci-cluster/review_outputs/rmelts_parity_audit_v2/2026-02-26/kcp109c_phase7_parity_20260225_222731/runs/kcp109c_phase7_parity_liam_exact/runs/20260225_222731/parallel-results/Parallel_MELTS_KCP109C_dP25.0_02-25_11cores.xlsx,feldspar_1,feldspar_1
53,724,400,0,11.13802025936235,2.531867113761293,-173.6758631664781,-151.2608183953951,22.47911023525347,13.27108627111353,0.4399133034599086,2.870724439255837e-05,1.777424152512249e-06,-1.856018893158305e-08,4.155851941552974e-12,6.179347942980347e-11,Success,65.69454977118909,0,18.86739464053419,0,0,0,0,0,0,0,0.2369962387863761,3.522958193021884,11.67810115646848,0,0,0,0,0,0,KCP109C,/Users/lopezama/PycharmProjects/sci-cluster/review_outputs/rmelts_parity_audit_v2/2026-02-26/kcp109c_phase7_parity_20260225_222731/runs/kcp109c_phase7_parity_liam_exact/runs/20260225_222731/parallel-results/Parallel_MELTS_KCP109C_dP25.0_02-25_11cores.xlsx,feldspar_1,feldspar_1
54,723,400,0,14.72443798679391,2.531826250018011,-229.694388940282,-200.0853823199708,29.72344187151659,17.57371339663052,0.5815737942794913,2.889358710452912e-05,1.779271610041259e-06,-2.642945406693589e-08,5.475323520911839e-12,8.704825534882967e-11,Success,65.7469585433412,0,18.87234854332248,0,0,0,0,0,0,0,0.2288544905661706,3.652764742982959,11.49907367978719,0,0,0,0,0,0,KCP109C,/Users/lopezama/PycharmProjects/sci-cluster/review_outputs/rmelts_parity_audit_v2/2026-02-26/kcp109c_phase7_parity_20260225_222731/runs/kcp109c_phase7_parity_liam_exact/runs/20260225_222731/parallel-results/Parallel_MELTS_KCP109C_dP25.0_02-25_11cores.xlsx,feldspar_1,feldspar_1
55,722,400,0,18.14527829278046,2.531807489012704,-283.1756008696851,-246.7173048931515,36.63598048187067,21.69403449785459,0.7166926542213657,2.908613411936826e-05,1.781164686101218e-06,-3.500032081830533e-08,6.72361021193507e-12,1.141396425564282e-10,Success,65.79987543518108,0,18.87709502543079,0,0,0,0,0,0,0,0.2204230563650859,3.783159926807003,11.31944655621604,0,0,0,0,0,0,KCP109C,/Users/lopezama/PycharmProjects/sci-cluster/review_outputs/rmelts_parity_audit_v2/2026-02-26/kcp109c_phase7_parity_20260225_222731/runs/kcp109c_phase7_parity_liam_exact/runs/20260225_222731/parallel-results/Parallel_MELTS_KCP109C_dP25.0_02-25_11cores.xlsx,feldspar_1,feldspar_1
56,721,400,0,21.36221559586531,2.531811675660351,-333.5124114271883,-290.6269176232283,43.13785022779258,25.58492539875835,0.8437521558665528,2.928054436219774e-05,1.783052009330114e-06,-4.413083627360645e-08,7.887405546193922e-12,1.426247900693369e-10,Success,65.85173030717884,0,18.88143132067017,0,0,0,0,0,0,0,0.2119010195464232,3.910112283177501,11.14482506942706,0,0,0,0,0,0,KCP109C,/Users/lopezama/PycharmProjects/sci-cluster/review_outputs/rmelts_parity_audit_v2/2026-02-26/kcp109c_phase7_parity_20260225_222731/runs/kcp109c_phase7_parity_liam_exact/runs/20260225_222731/parallel-results/Parallel_MELTS_KCP109C_dP25.0_02-25_11cores.xlsx,feldspar_1,feldspar_1
57,720,400,0,24.22757631235912,2.53183707321065,-378.378057786154,-329.7857724243018,48.92743831430523,29.0656463599205,0.9569168793960298,2.946659651991264e-05,1.784815177381049e-06,-5.330192726239905e-08,8.914629450939462e-12,1.709004710540641e-10,Success,65.89902900391596,0,18.88493052419773,0,0,0,0,0,0,0,0.203751485857711,4.024714076483741,10.98757490954485,0,0,0,0,0,0,KCP109C,/Users/lopezama/PycharmProjects/sci-cluster/review_outputs/rmelts_parity_audit_v2/2026-02-26/kcp109c_phase7_parity_20260225_222731/runs/kcp109c_phase7_parity_liam_exact/runs/20260225_222731/parallel-results/Parallel_MELTS_KCP109C_dP25.0_02-25_11cores.xlsx,feldspar_1,feldspar_1
58,719,400,0,26.48381771767977,2.531876671876335,-413.7129401092359,-360.6537049050011,53.47904571308253,31.81946462723616,1.046015313931267,2.962805194816708e-05,1.786268332337871e-06,-6.150294734750588e-08,9.71529666626456e-12,1.958816038297474e-10,Success,65.93642612308399,0,18.88698214081443,0,0,0,0,0,0,0,0.1967180566817977,4.113449826147765,10.86642385327201,0,0,0,0,0,0,KCP109C,/Users/lopezama/PycharmProjects/sci-cluster/review_outputs/rmelts_parity_audit_v2/2026-02-26/kcp109c_phase7_parity_20260225_222731/runs/kcp109c_phase7_parity_liam_exact/runs/20260225_222731/parallel-results/Parallel_MELTS_KCP109C_dP25.0_02-25_11cores.xlsx,feldspar_1,feldspar_1
59,718,400,0,27.9881347683474,2.531920332177725,-437.2540932092661,-381.2536850794656,56.50043699722588,33.66669812450241,1.10541135171795,2.975478752460339e-05,1.787298840119369e-06,-6.79046042232743e-08,1.024205098398505e-11,2.151004940700405e-10,Success,65.96087638449175,0,18.88731118753158,0,0,0,0,0,0,0,0.1912844368252833,4.168810702703613,10.79171728844778,0,0,0,0,0,0,KCP109C,/Users/lopezama/PycharmProjects/sci-cluster/review_outputs/rmelts_parity_audit_v2/2026-02-26/kcp109c_phase7_parity_20260225_222731/runs/kcp109c_phase7_parity_liam_exact/runs/20260225_222731/parallel-results/Parallel_MELTS_KCP109C_dP25.0_02-25_11cores.xlsx,feldspar_1,feldspar_1
