phase,P_MPa,first_appearance_T_C_liam,first_appearance_T_C_generated,delta_first_appearance_T_C
feldspar,400,721,743,22
feldspar,375,723,749,26
feldspar,350,730,755,25
feldspar,325,736,763,27
feldspar,300,741,770,29
feldspar,275,747,778,31
feldspar,250,753,786,33
feldspar,225,761,794,33
feldspar,200,770,803,33
feldspar,175,780,813,33
feldspar,150,792,824,32
feldspar,125,806,837,31
feldspar,100,823,854,31
feldspar,75,845,875,30
feldspar,50,875,902,27
feldspar_1,400,719,727,8
feldspar_1,375,723,730,7
feldspar_1,350,728,734,6
feldspar_1,325,732,737,5
feldspar_1,300,735,740,5
feldspar_1,275,739,744,5
feldspar_1,250,743,747,4
feldspar_1,225,747,751,4
feldspar_1,200,752,756,4
feldspar_1,175,757,761,4
feldspar_1,150,764,768,4
feldspar_1,125,773,776,3
feldspar_1,100,784,788,4
feldspar_1,75,800,804,4
feldspar_1,50,823,828,5
quartz,400,754,754,0
quartz,375,753,753,0
quartz,350,753,753,0
quartz,325,752,756,4
quartz,300,751,758,7
quartz,275,751,761,10
quartz,250,752,764,12
quartz,225,756,767,11
quartz,200,761,771,10
quartz,175,767,776,9
quartz,150,774,783,9
quartz,125,783,792,9
quartz,100,796,804,8
quartz,75,814,822,8
quartz,50,841,849,8
