phase,P_MPa,first_appearance_T_C
quartz,400,754
quartz,375,753
quartz,350,753
quartz,325,756
quartz,300,758
quartz,275,761
quartz,250,764
quartz,225,767
quartz,200,771
quartz,175,776
quartz,150,783
quartz,125,792
quartz,100,804
quartz,75,822
quartz,50,849
feldspar,400,743
feldspar,375,749
feldspar,350,755
feldspar,325,763
feldspar,300,770
feldspar,275,778
feldspar,250,786
feldspar,225,794
feldspar,200,803
feldspar,175,813
feldspar,150,824
feldspar,125,837
feldspar,100,854
feldspar,75,875
feldspar,50,902
feldspar_1,400,727
feldspar_1,375,730
feldspar_1,350,734
feldspar_1,325,737
feldspar_1,300,740
feldspar_1,275,744
feldspar_1,250,747
feldspar_1,225,751
feldspar_1,200,756
feldspar_1,175,761
feldspar_1,150,768
feldspar_1,125,776
feldspar_1,100,788
feldspar_1,75,804
feldspar_1,50,828
