source,P_MPa,T_qz_C,T_fsp_C,T_fsp1_C,R2_qz_fsp_C,R3_qz_fsp_fsp1_C
generated,400.0,754.0,743.0,727.0,11.0,27.0
generated,375.0,753.0,749.0,730.0,4.0,23.0
generated,350.0,753.0,755.0,734.0,2.0,21.0
generated,325.0,756.0,763.0,737.0,7.0,26.0
generated,300.0,758.0,770.0,740.0,12.0,30.0
generated,275.0,761.0,778.0,744.0,17.0,34.0
generated,250.0,764.0,786.0,747.0,22.0,39.0
generated,225.0,767.0,794.0,751.0,27.0,43.0
generated,200.0,771.0,803.0,756.0,32.0,47.0
generated,175.0,776.0,813.0,761.0,37.0,52.0
generated,150.0,783.0,824.0,768.0,41.0,56.0
generated,125.0,792.0,837.0,776.0,45.0,61.0
generated,100.0,804.0,854.0,788.0,50.0,66.0
generated,75.0,822.0,875.0,804.0,53.0,71.0
generated,50.0,849.0,902.0,828.0,53.0,74.0
