phase,P_MPa,first_appearance_T_C
quartz,400,754
quartz,375,753
quartz,350,753
quartz,325,752
quartz,300,751
quartz,275,751
quartz,250,752
quartz,225,756
quartz,200,761
quartz,175,767
quartz,150,774
quartz,125,783
quartz,100,796
quartz,75,814
quartz,50,841
feldspar,400,721
feldspar,375,723
feldspar,350,730
feldspar,325,736
feldspar,300,741
feldspar,275,747
feldspar,250,753
feldspar,225,761
feldspar,200,770
feldspar,175,780
feldspar,150,792
feldspar,125,806
feldspar,100,823
feldspar,75,845
feldspar,50,875
feldspar_1,400,719
feldspar_1,375,723
feldspar_1,350,728
feldspar_1,325,732
feldspar_1,300,735
feldspar_1,275,739
feldspar_1,250,743
feldspar_1,225,747
feldspar_1,200,752
feldspar_1,175,757
feldspar_1,150,764
feldspar_1,125,773
feldspar_1,100,784
feldspar_1,75,800
feldspar_1,50,823
