source,P_MPa,T_qz_C,T_fsp_C,T_fsp1_C,R2_qz_fsp_C,R3_qz_fsp_fsp1_C
liam,400.0,754.0,721.0,719.0,33.0,35.0
liam,375.0,753.0,723.0,723.0,30.0,30.0
liam,350.0,753.0,730.0,728.0,23.0,25.0
liam,325.0,752.0,736.0,732.0,16.0,20.0
liam,300.0,751.0,741.0,735.0,10.0,16.0
liam,275.0,751.0,747.0,739.0,4.0,12.0
liam,250.0,752.0,753.0,743.0,1.0,10.0
liam,225.0,756.0,761.0,747.0,5.0,14.0
liam,200.0,761.0,770.0,752.0,9.0,18.0
liam,175.0,767.0,780.0,757.0,13.0,23.0
liam,150.0,774.0,792.0,764.0,18.0,28.0
liam,125.0,783.0,806.0,773.0,23.0,33.0
liam,100.0,796.0,823.0,784.0,27.0,39.0
liam,75.0,814.0,845.0,800.0,31.0,45.0
liam,50.0,841.0,875.0,823.0,34.0,52.0
