source_liam,P_MPa,T_qz_C_liam,T_fsp_C_liam,T_fsp1_C_liam,R2_qz_fsp_C_liam,R3_qz_fsp_fsp1_C_liam,source_generated,T_qz_C_generated,T_fsp_C_generated,T_fsp1_C_generated,R2_qz_fsp_C_generated,R3_qz_fsp_fsp1_C_generated,delta_R2_qz_fsp_C,delta_R3_qz_fsp_fsp1_C,delta_T_qz_C,delta_T_fsp_C,delta_T_fsp1_C
liam,400.0,754.0,721.0,719.0,33.0,35.0,generated,754.0,743.0,727.0,11.0,27.0,-22.0,-8.0,0.0,22.0,8.0
liam,375.0,753.0,723.0,723.0,30.0,30.0,generated,753.0,749.0,730.0,4.0,23.0,-26.0,-7.0,0.0,26.0,7.0
liam,350.0,753.0,730.0,728.0,23.0,25.0,generated,753.0,755.0,734.0,2.0,21.0,-21.0,-4.0,0.0,25.0,6.0
liam,325.0,752.0,736.0,732.0,16.0,20.0,generated,756.0,763.0,737.0,7.0,26.0,-9.0,6.0,4.0,27.0,5.0
liam,300.0,751.0,741.0,735.0,10.0,16.0,generated,758.0,770.0,740.0,12.0,30.0,2.0,14.0,7.0,29.0,5.0
liam,275.0,751.0,747.0,739.0,4.0,12.0,generated,761.0,778.0,744.0,17.0,34.0,13.0,22.0,10.0,31.0,5.0
liam,250.0,752.0,753.0,743.0,1.0,10.0,generated,764.0,786.0,747.0,22.0,39.0,21.0,29.0,12.0,33.0,4.0
liam,225.0,756.0,761.0,747.0,5.0,14.0,generated,767.0,794.0,751.0,27.0,43.0,22.0,29.0,11.0,33.0,4.0
liam,200.0,761.0,770.0,752.0,9.0,18.0,generated,771.0,803.0,756.0,32.0,47.0,23.0,29.0,10.0,33.0,4.0
liam,175.0,767.0,780.0,757.0,13.0,23.0,generated,776.0,813.0,761.0,37.0,52.0,24.0,29.0,9.0,33.0,4.0
liam,150.0,774.0,792.0,764.0,18.0,28.0,generated,783.0,824.0,768.0,41.0,56.0,23.0,28.0,9.0,32.0,4.0
liam,125.0,783.0,806.0,773.0,23.0,33.0,generated,792.0,837.0,776.0,45.0,61.0,22.0,28.0,9.0,31.0,3.0
liam,100.0,796.0,823.0,784.0,27.0,39.0,generated,804.0,854.0,788.0,50.0,66.0,23.0,27.0,8.0,31.0,4.0
liam,75.0,814.0,845.0,800.0,31.0,45.0,generated,822.0,875.0,804.0,53.0,71.0,22.0,26.0,8.0,30.0,4.0
liam,50.0,841.0,875.0,823.0,34.0,52.0,generated,849.0,902.0,828.0,53.0,74.0,19.0,22.0,8.0,27.0,5.0
