Index,T_C,P_MPa,deltaQFM,Mass_g,Density_g_cm3,G_kJ,H_kJ,S_J_per_K,Cp_J_per_K,V_cm3,alpha_1_per_K,beta_1_per_bar,d2V/dT2,d2V/dP2,d2V/dTdP,Outcome,SiO2_wt_pct,TiO2_wt_pct,Al2O3_wt_pct,Fe2O3_wt_pct,Cr2O3_wt_pct,FeO_wt_pct,MnO_wt_pct,MgO_wt_pct,NiO_wt_pct,CoO_wt_pct,CaO_wt_pct,Na2O_wt_pct,K2O_wt_pct,P2O5_wt_pct,H2O_wt_pct,CO2_wt_pct,SO3_wt_pct,Cl2O-1_wt_pct,F2O-1_wt_pct,sample_label,source_excel,phase,phase_sheet_name
1,776,400,0,108.2548177557766,2.173500526443985,-1786.973370446545,-1468.685693533915,303.3767115404186,149.8128431248086,4.98066673730647,0.0001880621731589288,1.810998585772237e-05,5.058173859422575e-07,1.320843063202619e-08,-6.346120662832447e-08,,70.03826545518638,0.07574700299822328,11.96248401008526,0.1733839992420553,0,0.4462367926376628,0.02863606210908441,0.08313695451024505,0,0,0.6466207573019059,4.036761013441899,3.704213195400918,0.008313695451024504,8.796201061635314,0,0,0,0,KCP109C,/Users/lopezama/PycharmProjects/sci-cluster/review_outputs/rmelts_parity_audit_v2/2026-02-26/kcp109c_phase7_parity_20260225_224621/runs/kcp109c_phase7_parity_liam_exact/runs/20260225_224621/parallel-results/Parallel_MELTS_KCP109C_dP25.0_02-25_11cores.xlsx,liquid,liquid
2,775,400,0,108.259313248694,2.173812992251157,-1786.767074391001,-1468.893107023411,303.2714471856025,149.8091473467692,4.980157614044934,0.0001880513385042132,1.810438072889976e-05,5.066860985339269e-07,1.32022430371828e-08,-6.34781204058928e-08,,70.03535710788258,0.07574385759491398,11.96198726651385,0.1736606976081739,0,0.4459628079136969,0.02863487299319918,0.0831335022383202,0,0,0.646593906298046,4.036593386460659,3.704059377507378,0.00831335022383202,8.799959866765331,0,0,0,0,KCP109C,/Users/lopezama/PycharmProjects/sci-cluster/review_outputs/rmelts_parity_audit_v2/2026-02-26/kcp109c_phase7_parity_20260225_224621/runs/kcp109c_phase7_parity_liam_exact/runs/20260225_224621/parallel-results/Parallel_MELTS_KCP109C_dP25.0_02-25_11cores.xlsx,liquid,liquid
3,774,400,0,108.2637892593731,2.174126032062873,-1786.560423802272,-1469.100279894364,303.1658729961395,149.8053753794849,4.979646426322827,0.0001880400451277626,1.809874882590954e-05,5.075543584925184e-07,1.319601817311721e-08,-6.349486972855928e-08,,70.0324616045227,0.0757407260824435,11.96149271667858,0.1739386371732644,0,0.4456878167885747,0.02863368912872864,0.08313006521243799,0,0,0.6465671738745177,4.036426499759489,3.703906238909737,0.008313006521243798,8.803701825348277,0,0,0,0,KCP109C,/Users/lopezama/PycharmProjects/sci-cluster/review_outputs/rmelts_parity_audit_v2/2026-02-26/kcp109c_phase7_parity_20260225_224621/runs/kcp109c_phase7_parity_liam_exact/runs/20260225_224621/parallel-results/Parallel_MELTS_KCP109C_dP25.0_02-25_11cores.xlsx,liquid,liquid
4,773,400,0,108.2682450759201,2.17443965909803,-1786.353403959298,-1469.307202853989,303.0599828947186,149.8015254672871,4.979133112428164,0.000188028284288063,1.809308961493467e-05,5.084221239241433e-07,1.318975517371513e-08,-6.351144931330845e-08,,70.02957940241338,0.07573760895539307,11.96100043868707,0.1742178253109702,0,0.4454118165597295,0.0286325107026486,0.0831266439754314,0,0,0.6465405642533554,4.036260379695947,3.703753803794221,0.00831266439754314,8.807426341254295,0,0,0,0,KCP109C,/Users/lopezama/PycharmProjects/sci-cluster/review_outputs/rmelts_parity_audit_v2/2026-02-26/kcp109c_phase7_parity_20260225_224621/runs/kcp109c_phase7_parity_liam_exact/runs/20260225_224621/parallel-results/Parallel_MELTS_KCP109C_dP25.0_02-25_11cores.xlsx,liquid,liquid
5,772,400,0,108.2726801797728,2.174753882360064,-1786.146004339639,-1469.513869076619,302.9537724374682,149.7975963240335,4.978617629240612,0.0001880160496522862,1.808740272534328e-05,5.092893630674337e-07,1.318345343151099e-08,-6.352785534252708e-08,,70.02671083368543,0.07573450657296506,11.96051048926704,0.1744982689843569,0,0.445134803817666,0.02863133785075508,0.083123238921547,0,0,0.6465140805009211,4.036095045412893,3.703602089726705,0.008312323892154699,8.81113298136756,0,0,0,0,KCP109C,/Users/lopezama/PycharmProjects/sci-cluster/review_outputs/rmelts_parity_audit_v2/2026-02-26/kcp109c_phase7_parity_20260225_224621/runs/kcp109c_phase7_parity_liam_exact/runs/20260225_224621/parallel-results/Parallel_MELTS_KCP109C_dP25.0_02-25_11cores.xlsx,liquid,liquid
6,771,400,0,108.2770967297138,2.175068653518578,-1785.938272225836,-1469.720306006951,302.8472597029983,149.7935931533925,4.978100187989719,0.0001880033679868336,1.808169000539234e-05,5.101561871395118e-07,1.31771158700932e-08,-6.3544104222354e-08,,70.02385449891528,0.07573141742167053,11.96002262939797,0.1747799689849703,0,0.4448567658166876,0.02863017000087544,0.08311984838963837,0,0,0.6464877096971873,4.035930416252441,3.703451022693887,0.008311984838963836,8.814823567590405,0,0,0,0,KCP109C,/Users/lopezama/PycharmProjects/sci-cluster/review_outputs/rmelts_parity_audit_v2/2026-02-26/kcp109c_phase7_parity_20260225_224621/runs/kcp109c_phase7_parity_liam_exact/runs/20260225_224621/parallel-results/Parallel_MELTS_KCP109C_dP25.0_02-25_11cores.xlsx,liquid,liquid
7,770,400,0,108.2814897053402,2.175384077877964,-1785.730099933237,-1469.926449184666,302.7404023856315,149.7895037575511,4.977580318182996,0.0001879901773320865,1.807594735759419e-05,5.110223236933296e-07,1.317073594989039e-08,-6.356015813688219e-08,,70.02101364160895,0.07572834500938987,11.95953741306828,0.1750629427737493,0,0.4445777147357211,0.02862900847915958,0.08311647622981813,0,0,0.6464614817874744,4.035766679158947,3.703300774239675,0.008311647622981812,8.818493875285835,0,0,0,0,KCP109C,/Users/lopezama/PycharmProjects/sci-cluster/review_outputs/rmelts_parity_audit_v2/2026-02-26/kcp109c_phase7_parity_20260225_224621/runs/kcp109c_phase7_parity_liam_exact/runs/20260225_224621/parallel-results/Parallel_MELTS_KCP109C_dP25.0_02-25_11cores.xlsx,liquid,liquid
8,769,400,0,108.2858622921791,2.175700085085589,-1785.521556924036,-1470.132339193329,302.6332272040557,149.7853358291107,4.977058328695121,0.0001879765171578006,1.807017748254029e-05,5.118879386827759e-07,1.316431795042726e-08,-6.357604125036674e-08,,70.0181861982548,0.07572528710441702,11.95905448783171,0.1753471888262043,0,0.4442976342026601,0.02862785244191375,0.08311311999265282,0,0,0.646435377720633,4.035603715198809,3.703151235228198,0.008311311999265282,8.822146591198724,0,0,0,0,KCP109C,/Users/lopezama/PycharmProjects/sci-cluster/review_outputs/rmelts_parity_audit_v2/2026-02-26/kcp109c_phase7_parity_20260225_224621/runs/kcp109c_phase7_parity_liam_exact/runs/20260225_224621/parallel-results/Parallel_MELTS_KCP109C_dP25.0_02-25_11cores.xlsx,liquid,liquid
9,768,400,0,108.2902129324973,2.176016706230672,-1785.312610294974,-1470.337955888805,302.525720987532,149.7810855644466,4.976534078181745,0.0001879623683282719,1.806437915500631e-05,5.127529444137466e-07,1.315785990206512e-08,-6.359174190704603e-08,,70.01537317278552,0.07572224479251409,11.95857402515924,0.175632716650036,0,0.444016524295053,0.02862670229960898,0.08310978086983252,0,0,0.6464094067653641,4.035441582235201,3.703002458755871,0.00831097808698325,8.825780407304782,0,0,0,0,KCP109C,/Users/lopezama/PycharmProjects/sci-cluster/review_outputs/rmelts_parity_audit_v2/2026-02-26/kcp109c_phase7_parity_20260225_224621/runs/kcp109c_phase7_parity_liam_exact/runs/20260225_224621/parallel-results/Parallel_MELTS_KCP109C_dP25.0_02-25_11cores.xlsx,liquid,liquid
10,767,400,0,108.2945414001518,2.176333943891562,-1785.10325589118,-1470.54329617188,302.4178817663799,149.7767523874768,4.976007551787177,0.0001879477281694975,1.805855225318788e-05,5.136173243114451e-07,1.315136159119048e-08,-6.36072585093023e-08,,70.01257470795451,0.07571921822807011,11.95809604943302,0.1759195326971896,0,0.4437343804348858,0.02862555811061187,0.08310645903080864,0,0,0.6463835702396228,4.035280288495931,3.702854452372697,0.008310645903080864,8.829395137099565,0,0,0,0,KCP109C,/Users/lopezama/PycharmProjects/sci-cluster/review_outputs/rmelts_parity_audit_v2/2026-02-26/kcp109c_phase7_parity_20260225_224621/runs/kcp109c_phase7_parity_liam_exact/runs/20260225_224621/parallel-results/Parallel_MELTS_KCP109C_dP25.0_02-25_11cores.xlsx,liquid,liquid
11,766,400,0,108.298845574537,2.176651840905749,-1784.893448756045,-1470.748332662997,302.3096916643872,149.7723311341553,4.975478555609135,0.0001879325706616494,1.805269509737246e-05,5.14480959845021e-07,1.31448203206907e-08,-6.362257517010362e-08,,70.00979217115898,0.07571620888993724,11.9576207942035,0.1762076478746355,0,0.4434512045660109,0.02862442043400066,0.08310315609871159,0,0,0.6463578807677569,4.035119912792997,3.70270728839815,0.00831031560987116,8.832988999205426,0,0,0,0,KCP109C,/Users/lopezama/PycharmProjects/sci-cluster/review_outputs/rmelts_parity_audit_v2/2026-02-26/kcp109c_phase7_parity_20260225_224621/runs/kcp109c_phase7_parity_liam_exact/runs/20260225_224621/parallel-results/Parallel_MELTS_KCP109C_dP25.0_02-25_11cores.xlsx,liquid,liquid
