Index,T_C,P_MPa,deltaQFM,Mass_g,Density_g_cm3,G_kJ,H_kJ,S_J_per_K,Cp_J_per_K,V_cm3,alpha_1_per_K,beta_1_per_bar,d2V/dT2,d2V/dP2,d2V/dTdP,Outcome,SiO2_wt_pct,TiO2_wt_pct,Al2O3_wt_pct,Fe2O3_wt_pct,Cr2O3_wt_pct,FeO_wt_pct,MnO_wt_pct,MgO_wt_pct,NiO_wt_pct,CoO_wt_pct,CaO_wt_pct,Na2O_wt_pct,K2O_wt_pct,P2O5_wt_pct,H2O_wt_pct,CO2_wt_pct,SO3_wt_pct,Cl2O-1_wt_pct,F2O-1_wt_pct,sample_label,source_excel,phase,phase_sheet_name
23,754,400,0,0.05181923434719619,2.547787143997305,-0.8421388098212238,-0.7375187813919998,0.1018546740293277,0.06002949153670499,0.002033891821351109,0,1.238449047884392e-06,0,2.897148525488466e-15,0,Success,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KCP109C,/Users/lopezama/PycharmProjects/sci-cluster/review_outputs/rmelts_parity_audit_v2/2026-02-26/kcp109c_phase7_parity_20260225_224621/runs/kcp109c_phase7_parity_liam_exact/runs/20260225_224621/parallel-results/Parallel_MELTS_KCP109C_dP25.0_02-25_11cores.xlsx,quartz,quartz
24,753,400,0,0.3008175917316996,2.547787143997305,-4.888137406510419,-4.281743704744639,0.5909406049464296,0.3484347737984832,0.01180701427277544,0,1.238449047884392e-06,0,1.681833499289517e-14,0,Success,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KCP109C,/Users/lopezama/PycharmProjects/sci-cluster/review_outputs/rmelts_parity_audit_v2/2026-02-26/kcp109c_phase7_parity_20260225_224621/runs/kcp109c_phase7_parity_liam_exact/runs/20260225_224621/parallel-results/Parallel_MELTS_KCP109C_dP25.0_02-25_11cores.xlsx,quartz,quartz
25,752,400,0,0.5486912947785785,2.547787143997305,-8.914885184779541,-7.81053612805194,1.07725606665132,0.6354637644484732,0.02153599432634389,0,1.238449047884392e-06,0,3.067664344411773e-14,0,Success,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KCP109C,/Users/lopezama/PycharmProjects/sci-cluster/review_outputs/rmelts_parity_audit_v2/2026-02-26/kcp109c_phase7_parity_20260225_224621/runs/kcp109c_phase7_parity_liam_exact/runs/20260225_224621/parallel-results/Parallel_MELTS_KCP109C_dP25.0_02-25_11cores.xlsx,quartz,quartz
26,751,400,0,0.7954539586544921,2.547787143997305,-12.92261079711875,-11.32408585881539,1.560830872727001,0.9211324892189111,0.03122136637389883,0,1.238449047884392e-06,0,4.44728350860807e-14,0,Success,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KCP109C,/Users/lopezama/PycharmProjects/sci-cluster/review_outputs/rmelts_parity_audit_v2/2026-02-26/kcp109c_phase7_parity_20260225_224621/runs/kcp109c_phase7_parity_liam_exact/runs/20260225_224621/parallel-results/Parallel_MELTS_KCP109C_dP25.0_02-25_11cores.xlsx,quartz,quartz
27,750,400,0,1.041118922069537,2.547787143997305,-16.9115382918566,-14.82257883232115,2.041694237927433,1.205456646789117,0.04086365395643263,0,1.238449047884392e-06,0,5.820765566936832e-14,0,Success,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KCP109C,/Users/lopezama/PycharmProjects/sci-cluster/review_outputs/rmelts_parity_audit_v2/2026-02-26/kcp109c_phase7_parity_20260225_224621/runs/kcp109c_phase7_parity_liam_exact/runs/20260225_224621/parallel-results/Parallel_MELTS_KCP109C_dP25.0_02-25_11cores.xlsx,quartz,quartz
28,749,400,0,1.285699467044038,2.547787143997305,-20.88189068539226,-18.30620023913163,2.519875210351351,1.488451863377271,0.05046337838987848,0,1.238449047884392e-06,0,7.188184777511065e-14,0,Success,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KCP109C,/Users/lopezama/PycharmProjects/sci-cluster/review_outputs/rmelts_parity_audit_v2/2026-02-26/kcp109c_phase7_parity_20260225_224621/runs/kcp109c_phase7_parity_liam_exact/runs/20260225_224621/parallel-results/Parallel_MELTS_KCP109C_dP25.0_02-25_11cores.xlsx,quartz,quartz
29,748,400,0,1.529208875370899,2.547787143997305,-24.83389087982469,-21.77513532873409,2.995402782246096,1.770133758103429,0.0600210609812433,0,1.238449047884392e-06,0,8.54961539717229e-14,0,Success,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KCP109C,/Users/lopezama/PycharmProjects/sci-cluster/review_outputs/rmelts_parity_audit_v2/2026-02-26/kcp109c_phase7_parity_20260225_224621/runs/kcp109c_phase7_parity_liam_exact/runs/20260225_224621/parallel-results/Parallel_MELTS_KCP109C_dP25.0_02-25_11cores.xlsx,quartz,quartz
30,747,400,0,1.771660277294036,2.547787143997305,-28.76775920597656,-25.22956725460658,3.46830559365777,2.050517767812957,0.06953721708927463,0,1.238449047884392e-06,0,9.905130835470603e-14,0,Success,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KCP109C,/Users/lopezama/PycharmProjects/sci-cluster/review_outputs/rmelts_parity_audit_v2/2026-02-26/kcp109c_phase7_parity_20260225_224621/runs/kcp109c_phase7_parity_liam_exact/runs/20260225_224621/parallel-results/Parallel_MELTS_KCP109C_dP25.0_02-25_11cores.xlsx,quartz,quartz
31,746,400,0,2.013066794370014,2.547787143997305,-32.68371574448994,-28.6696791079291,3.938612212687864,2.329619312479164,0.07901236173174375,0,1.238449047884392e-06,0,1.125480445338622e-13,0,Success,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KCP109C,/Users/lopezama/PycharmProjects/sci-cluster/review_outputs/rmelts_parity_audit_v2/2026-02-26/kcp109c_phase7_parity_20260225_224621/runs/kcp109c_phase7_parity_liam_exact/runs/20260225_224621/parallel-results/Parallel_MELTS_KCP109C_dP25.0_02-25_11cores.xlsx,quartz,quartz
32,745,400,0,2.253441342948205,2.547787143997305,-36.58197713578275,-32.09565111849356,4.406350751155704,2.607453567779721,0.08844700187209156,0,1.238449047884392e-06,0,1.259870846461162e-13,0,Success,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KCP109C,/Users/lopezama/PycharmProjects/sci-cluster/review_outputs/rmelts_parity_audit_v2/2026-02-26/kcp109c_phase7_parity_20260225_224621/runs/kcp109c_phase7_parity_liam_exact/runs/20260225_224621/parallel-results/Parallel_MELTS_KCP109C_dP25.0_02-25_11cores.xlsx,quartz,quartz
