Index,T_C,P_MPa,deltaQFM,Mass_g,Density_g_cm3,G_kJ,H_kJ,S_J_per_K,Cp_J_per_K,V_cm3,alpha_1_per_K,beta_1_per_bar,d2V/dT2,d2V/dP2,d2V/dTdP,Outcome,sample_label,source_excel,phase,phase_sheet_name
1,776,400,0,111.7324807852826,2.025971490397598,-1862.181588402811,-1512.751894965018,333.0598040678574,162.6862061773274,5.51500755636769,0.0002552089427512445,2.699850001607962e-05,7.65724684190639e-07,4.184820150051352e-08,-2.077876713516732e-07,Success,KCP109C,/Users/lopezama/PycharmProjects/sci-cluster/review_outputs/rmelts_parity_audit_v2/2026-02-26/kcp109c_phase7_parity_20260225_224621/runs/kcp109c_phase7_parity_liam_exact/runs/20260225_224621/parallel-results/Parallel_MELTS_KCP109C_dP25.0_02-25_11cores.xlsx,system,system
2,775,400,0,111.7325115780697,2.026583951885536,-1861.849099531302,-1512.915593849021,332.9041699015236,162.6694129847154,5.513342364825974,0.0002551020427063356,2.696011636927208e-05,7.675415039244497e-07,4.171642867310765e-08,-2.075139304003356e-07,Success,KCP109C,/Users/lopezama/PycharmProjects/sci-cluster/review_outputs/rmelts_parity_audit_v2/2026-02-26/kcp109c_phase7_parity_20260225_224621/runs/kcp109c_phase7_parity_liam_exact/runs/20260225_224621/parallel-results/Parallel_MELTS_KCP109C_dP25.0_02-25_11cores.xlsx,system,system
3,774,400,0,111.7325425045854,2.027195898278198,-1861.516768461927,-1513.079271182387,332.7484097593853,162.6526032832131,5.51167958654048,0.0002549948538105509,2.692181395849255e-05,7.693575333980596e-07,4.158506465605712e-08,-2.072403091931758e-07,Success,KCP109C,/Users/lopezama/PycharmProjects/sci-cluster/review_outputs/rmelts_parity_audit_v2/2026-02-26/kcp109c_phase7_parity_20260225_224621/runs/kcp109c_phase7_parity_liam_exact/runs/20260225_224621/parallel-results/Parallel_MELTS_KCP109C_dP25.0_02-25_11cores.xlsx,system,system
4,773,400,0,111.7325735655057,2.027807313669085,-1861.184595331346,-1513.242926909952,332.592523463551,162.6357779605593,5.510019261314251,0.0002548873815394174,2.688359383735549e-05,7.711727784288329e-07,4.145411353440104e-08,-2.069668327630388e-07,Success,KCP109C,/Users/lopezama/PycharmProjects/sci-cluster/review_outputs/rmelts_parity_audit_v2/2026-02-26/kcp109c_phase7_parity_20260225_224621/runs/kcp109c_phase7_parity_liam_exact/runs/20260225_224621/parallel-results/Parallel_MELTS_KCP109C_dP25.0_02-25_11cores.xlsx,system,system
5,772,400,0,111.732604761495,2.028418186311131,-1860.852580276253,-1513.406561001544,332.4365108115666,162.6189376603511,5.508361417558145,0.0002547796299393161,2.684545671817341e-05,7.729872412942268e-07,4.132357800496013e-08,-2.066935195201363e-07,Success,KCP109C,/Users/lopezama/PycharmProjects/sci-cluster/review_outputs/rmelts_parity_audit_v2/2026-02-26/kcp109c_phase7_parity_20260225_224621/runs/kcp109c_phase7_parity_liam_exact/runs/20260225_224621/parallel-results/Parallel_MELTS_KCP109C_dP25.0_02-25_11cores.xlsx,system,system
6,771,400,0,111.7326360930167,2.029028561731946,-1860.520723430335,-1513.570173727775,332.2803713092563,162.6020795932894,5.506705928163157,0.0002546715831926783,2.680739879154306e-05,7.748008629674173e-07,4.1193442532451e-08,-2.06420297324499e-07,Success,KCP109C,/Users/lopezama/PycharmProjects/sci-cluster/review_outputs/rmelts_parity_audit_v2/2026-02-26/kcp109c_phase7_parity_20260225_224621/runs/kcp109c_phase7_parity_liam_exact/runs/20260225_224621/parallel-results/Parallel_MELTS_KCP109C_dP25.0_02-25_11cores.xlsx,system,system
7,770,400,0,111.7326675610853,2.029638331917676,-1860.189024936334,-1513.733764557873,332.1241052374645,162.5852101799483,5.505053082807921,0.0002545632787521437,2.676942835071499e-05,7.76613750092206e-07,4.10637403648212e-08,-2.061473367191577e-07,Success,KCP109C,/Users/lopezama/PycharmProjects/sci-cluster/review_outputs/rmelts_parity_audit_v2/2026-02-26/kcp109c_phase7_parity_20260225_224621/runs/kcp109c_phase7_parity_liam_exact/runs/20260225_224621/parallel-results/Parallel_MELTS_KCP109C_dP25.0_02-25_11cores.xlsx,system,system
8,769,400,0,111.7326991660918,2.030247564374348,-1859.857484927225,-1513.897333879662,331.9677119872982,162.568325316051,5.503402694662211,0.0002544546931839299,2.673153984443531e-05,7.784258205809738e-07,4.093444893806911e-08,-2.058745307940574e-07,Success,KCP109C,/Users/lopezama/PycharmProjects/sci-cluster/review_outputs/rmelts_parity_audit_v2/2026-02-26/kcp109c_phase7_parity_20260225_224621/runs/kcp109c_phase7_parity_liam_exact/runs/20260225_224621/parallel-results/Parallel_MELTS_KCP109C_dP25.0_02-25_11cores.xlsx,system,system
9,768,400,0,111.732730908793,2.030856225183268,-1859.526103542067,-1514.060881554223,331.8111914592949,162.5514269855114,5.501754852129428,0.0002543458382533117,2.669373570532166e-05,7.802371025556372e-07,4.08055778593424e-08,-2.056019329039832e-07,Success,KCP109C,/Users/lopezama/PycharmProjects/sci-cluster/review_outputs/rmelts_parity_audit_v2/2026-02-26/kcp109c_phase7_parity_20260225_224621/runs/kcp109c_phase7_parity_liam_exact/runs/20260225_224621/parallel-results/Parallel_MELTS_KCP109C_dP25.0_02-25_11cores.xlsx,system,system
10,767,400,0,111.732762789847,2.031464308911802,-1859.194880918563,-1514.224407592223,331.6545434084894,162.5345154645323,5.50010956627139,0.0002542367158449248,2.665601611749838e-05,7.82047593617388e-07,4.067712767048127e-08,-2.053295513682502e-07,Success,KCP109C,/Users/lopezama/PycharmProjects/sci-cluster/review_outputs/rmelts_parity_audit_v2/2026-02-26/kcp109c_phase7_parity_20260225_224621/runs/kcp109c_phase7_parity_liam_exact/runs/20260225_224621/parallel-results/Parallel_MELTS_KCP109C_dP25.0_02-25_11cores.xlsx,system,system
