P_MPa,quartz_liam,feldspar_liam,feldspar_1_liam,quartz_profile_k,feldspar_profile_k,feldspar_1_profile_k,delta_quartz_C,delta_feldspar_C,delta_feldspar_1_C
400,754,721,719,754,743,727,0,22,8
375,753,723,723,753,749,730,0,26,7
350,753,730,728,753,755,734,0,25,6
325,752,736,732,756,763,737,4,27,5
300,751,741,735,758,770,740,7,29,5
275,751,747,739,761,778,744,10,31,5
250,752,753,743,764,786,747,12,33,4
225,756,761,747,767,794,751,11,33,4
200,761,770,752,771,803,756,10,33,4
175,767,780,757,776,813,761,9,33,4
150,774,792,764,783,824,768,9,32,4
125,783,806,773,792,837,776,9,31,3
100,796,823,784,804,854,788,8,31,4
75,814,845,800,822,875,804,8,30,4
50,841,875,823,849,902,828,8,27,5
