P_MPa,quartz_profile_i_prototype_mainloop_bounded_reset,feldspar_profile_i_prototype_mainloop_bounded_reset,feldspar_1_profile_i_prototype_mainloop_bounded_reset,quartz_profile_j_liquidus_fresh_iteration_bounded_main,feldspar_profile_j_liquidus_fresh_iteration_bounded_main,feldspar_1_profile_j_liquidus_fresh_iteration_bounded_main,delta_quartz_C,delta_feldspar_C,delta_feldspar_1_C
400,754,743,727,754,743,727,0,0,0
375,753,749,730,753,749,730,0,0,0
350,753,755,734,753,755,734,0,0,0
325,756,763,737,756,763,737,0,0,0
300,758,770,740,758,770,740,0,0,0
275,761,778,744,761,778,744,0,0,0
250,764,786,747,764,786,747,0,0,0
225,767,794,751,767,794,751,0,0,0
200,771,803,756,771,803,756,0,0,0
175,776,813,761,776,813,761,0,0,0
150,783,824,768,783,824,768,0,0,0
125,792,837,776,792,837,776,0,0,0
100,804,854,788,804,854,788,0,0,0
75,822,875,804,822,875,804,0,0,0
50,849,902,828,849,902,828,0,0,0
