pressure_mpa,mode,exec_mode,iteration_index,stage,target_temp_c,state_reused,outcome,elapsed_s,exception_type,exception_message
50.0,reuse_state|raw_execute_no_timeout_wrapper,raw_execute,-1,initial_mid,950.0,False,success,0.04306221008300781,,
50.0,reuse_state|raw_execute_no_timeout_wrapper,raw_execute,0,main,824.0,True,success,0.8261549472808838,,
50.0,reuse_state|raw_execute_no_timeout_wrapper,raw_execute,0,probe,825.0,True,success,0.1707782745361328,,
50.0,reuse_state|raw_execute_no_timeout_wrapper,raw_execute,1,main,887.0,True,success,0.29703783988952637,,
50.0,reuse_state|raw_execute_no_timeout_wrapper,raw_execute,1,probe,888.0,True,exception,0.03429102897644043,ValueError,"matmul: Input operand 1 has a mismatch in its core dimension 0, with gufunc signature (n?,k),(k,m?)->(n?,m?) (size 22 is different from 25)"
75.0,reuse_state|raw_execute_no_timeout_wrapper,raw_execute,-1,initial_mid,950.0,False,success,0.0389399528503418,,
75.0,reuse_state|raw_execute_no_timeout_wrapper,raw_execute,0,main,824.0,True,success,0.045084238052368164,,
75.0,reuse_state|raw_execute_no_timeout_wrapper,raw_execute,0,probe,825.0,True,success,0.03291010856628418,,
75.0,reuse_state|raw_execute_no_timeout_wrapper,raw_execute,1,main,887.0,True,success,0.08358287811279297,,
75.0,reuse_state|raw_execute_no_timeout_wrapper,raw_execute,1,probe,888.0,True,success,0.0527951717376709,,
100.0,reuse_state|raw_execute_no_timeout_wrapper,raw_execute,-1,initial_mid,950.0,False,success,0.032526254653930664,,
100.0,reuse_state|raw_execute_no_timeout_wrapper,raw_execute,0,main,824.0,True,success,0.04050707817077637,,
100.0,reuse_state|raw_execute_no_timeout_wrapper,raw_execute,0,probe,825.0,True,success,0.03965306282043457,,
100.0,reuse_state|raw_execute_no_timeout_wrapper,raw_execute,1,main,887.0,True,success,0.08542990684509277,,
100.0,reuse_state|raw_execute_no_timeout_wrapper,raw_execute,1,probe,888.0,True,success,0.054461002349853516,,
50.0,reuse_state|thread_timeout_wrapper_current,thread_timeout_wrapper,-1,initial_mid,950.0,False,success,0.04069805145263672,,
50.0,reuse_state|thread_timeout_wrapper_current,thread_timeout_wrapper,0,main,824.0,True,success,0.872960090637207,,
50.0,reuse_state|thread_timeout_wrapper_current,thread_timeout_wrapper,0,probe,825.0,True,success,0.17157793045043945,,
50.0,reuse_state|thread_timeout_wrapper_current,thread_timeout_wrapper,1,main,887.0,True,success,0.32064390182495117,,
50.0,reuse_state|thread_timeout_wrapper_current,thread_timeout_wrapper,1,probe,888.0,True,none,0.036345720291137695,,
75.0,reuse_state|thread_timeout_wrapper_current,thread_timeout_wrapper,-1,initial_mid,950.0,False,success,0.040641069412231445,,
75.0,reuse_state|thread_timeout_wrapper_current,thread_timeout_wrapper,0,main,824.0,True,success,0.04427981376647949,,
75.0,reuse_state|thread_timeout_wrapper_current,thread_timeout_wrapper,0,probe,825.0,True,success,0.03018975257873535,,
75.0,reuse_state|thread_timeout_wrapper_current,thread_timeout_wrapper,1,main,887.0,True,success,0.06328415870666504,,
75.0,reuse_state|thread_timeout_wrapper_current,thread_timeout_wrapper,1,probe,888.0,True,success,0.048880815505981445,,
100.0,reuse_state|thread_timeout_wrapper_current,thread_timeout_wrapper,-1,initial_mid,950.0,False,success,0.0396420955657959,,
100.0,reuse_state|thread_timeout_wrapper_current,thread_timeout_wrapper,0,main,824.0,True,success,0.05579495429992676,,
100.0,reuse_state|thread_timeout_wrapper_current,thread_timeout_wrapper,0,probe,825.0,True,success,0.04129505157470703,,
100.0,reuse_state|thread_timeout_wrapper_current,thread_timeout_wrapper,1,main,887.0,True,success,0.08584332466125488,,
100.0,reuse_state|thread_timeout_wrapper_current,thread_timeout_wrapper,1,probe,888.0,True,success,0.053433895111083984,,
50.0,reuse_state|thread_timeout_wrapper_with_equil_reset_after_none,thread_timeout_wrapper,-1,initial_mid,950.0,False,success,0.0719919204711914,,
50.0,reuse_state|thread_timeout_wrapper_with_equil_reset_after_none,thread_timeout_wrapper,0,main,824.0,True,success,0.7711801528930664,,
50.0,reuse_state|thread_timeout_wrapper_with_equil_reset_after_none,thread_timeout_wrapper,0,probe,825.0,True,success,0.21124005317687988,,
50.0,reuse_state|thread_timeout_wrapper_with_equil_reset_after_none,thread_timeout_wrapper,1,main,887.0,True,success,0.33306384086608887,,
50.0,reuse_state|thread_timeout_wrapper_with_equil_reset_after_none,thread_timeout_wrapper,1,probe,888.0,True,none,0.04288196563720703,,
75.0,reuse_state|thread_timeout_wrapper_with_equil_reset_after_none,thread_timeout_wrapper,-1,initial_mid,950.0,False,success,0.04992389678955078,,
75.0,reuse_state|thread_timeout_wrapper_with_equil_reset_after_none,thread_timeout_wrapper,0,main,824.0,True,success,0.0709230899810791,,
75.0,reuse_state|thread_timeout_wrapper_with_equil_reset_after_none,thread_timeout_wrapper,0,probe,825.0,True,success,0.04728817939758301,,
75.0,reuse_state|thread_timeout_wrapper_with_equil_reset_after_none,thread_timeout_wrapper,1,main,887.0,True,success,0.14937400817871094,,
75.0,reuse_state|thread_timeout_wrapper_with_equil_reset_after_none,thread_timeout_wrapper,1,probe,888.0,True,success,0.07744598388671875,,
100.0,reuse_state|thread_timeout_wrapper_with_equil_reset_after_none,thread_timeout_wrapper,-1,initial_mid,950.0,False,success,0.04251694679260254,,
100.0,reuse_state|thread_timeout_wrapper_with_equil_reset_after_none,thread_timeout_wrapper,0,main,824.0,True,success,0.06472086906433105,,
100.0,reuse_state|thread_timeout_wrapper_with_equil_reset_after_none,thread_timeout_wrapper,0,probe,825.0,True,success,0.0696861743927002,,
100.0,reuse_state|thread_timeout_wrapper_with_equil_reset_after_none,thread_timeout_wrapper,1,main,887.0,True,success,0.12600183486938477,,
100.0,reuse_state|thread_timeout_wrapper_with_equil_reset_after_none,thread_timeout_wrapper,1,probe,888.0,True,success,0.07297301292419434,,
50.0,fresh_state_probe_only|raw_execute_no_timeout_wrapper,raw_execute,-1,initial_mid,950.0,False,success,0.04591107368469238,,
50.0,fresh_state_probe_only|raw_execute_no_timeout_wrapper,raw_execute,0,main,824.0,True,success,0.8325870037078857,,
50.0,fresh_state_probe_only|raw_execute_no_timeout_wrapper,raw_execute,0,probe,825.0,False,success,0.5855591297149658,,
50.0,fresh_state_probe_only|raw_execute_no_timeout_wrapper,raw_execute,1,main,887.0,True,exception,0.21558499336242676,ValueError,"matmul: Input operand 1 has a mismatch in its core dimension 0, with gufunc signature (n?,k),(k,m?)->(n?,m?) (size 22 is different from 25)"
75.0,fresh_state_probe_only|raw_execute_no_timeout_wrapper,raw_execute,-1,initial_mid,950.0,False,success,0.03875994682312012,,
75.0,fresh_state_probe_only|raw_execute_no_timeout_wrapper,raw_execute,0,main,824.0,True,success,0.044844627380371094,,
75.0,fresh_state_probe_only|raw_execute_no_timeout_wrapper,raw_execute,0,probe,825.0,False,success,0.08247804641723633,,
75.0,fresh_state_probe_only|raw_execute_no_timeout_wrapper,raw_execute,1,main,887.0,True,success,0.06818413734436035,,
75.0,fresh_state_probe_only|raw_execute_no_timeout_wrapper,raw_execute,1,probe,888.0,False,success,0.03751802444458008,,
100.0,fresh_state_probe_only|raw_execute_no_timeout_wrapper,raw_execute,-1,initial_mid,950.0,False,success,0.032670021057128906,,
100.0,fresh_state_probe_only|raw_execute_no_timeout_wrapper,raw_execute,0,main,824.0,True,success,0.04081606864929199,,
