pressure_mpa,mode,exec_mode,iteration_index,stage,target_temp_c,state_reused,outcome,elapsed_s,exception_type,exception_message
50.0,reuse_state,thread_timeout_wrapper,-1,initial_mid,950.0,False,success,0.040825843811035156,,
50.0,reuse_state,thread_timeout_wrapper,0,main,824.0,True,success,0.8021812438964844,,
50.0,reuse_state,thread_timeout_wrapper,0,probe,825.0,True,success,0.17635607719421387,,
50.0,reuse_state,thread_timeout_wrapper,1,main,887.0,True,success,0.3173527717590332,,
50.0,reuse_state,thread_timeout_wrapper,1,probe,888.0,True,none,0.03513789176940918,,
75.0,reuse_state,thread_timeout_wrapper,-1,initial_mid,950.0,False,success,0.04149222373962402,,
75.0,reuse_state,thread_timeout_wrapper,0,main,824.0,True,success,0.04279208183288574,,
75.0,reuse_state,thread_timeout_wrapper,0,probe,825.0,True,success,0.028176307678222656,,
75.0,reuse_state,thread_timeout_wrapper,1,main,887.0,True,success,0.06401991844177246,,
75.0,reuse_state,thread_timeout_wrapper,1,probe,888.0,True,success,0.04985213279724121,,
100.0,reuse_state,thread_timeout_wrapper,-1,initial_mid,950.0,False,success,0.03208494186401367,,
100.0,reuse_state,thread_timeout_wrapper,0,main,824.0,True,success,0.03914308547973633,,
100.0,reuse_state,thread_timeout_wrapper,0,probe,825.0,True,success,0.040599822998046875,,
100.0,reuse_state,thread_timeout_wrapper,1,main,887.0,True,success,0.08427000045776367,,
100.0,reuse_state,thread_timeout_wrapper,1,probe,888.0,True,success,0.05654025077819824,,
50.0,fresh_state_each_iteration,thread_timeout_wrapper,-1,initial_mid,950.0,False,success,0.04082512855529785,,
50.0,fresh_state_each_iteration,thread_timeout_wrapper,0,main,824.0,False,success,0.797666072845459,,
50.0,fresh_state_each_iteration,thread_timeout_wrapper,0,probe,825.0,False,success,0.6010072231292725,,
50.0,fresh_state_each_iteration,thread_timeout_wrapper,1,main,887.0,False,success,0.09813714027404785,,
50.0,fresh_state_each_iteration,thread_timeout_wrapper,1,probe,888.0,False,success,0.08970308303833008,,
50.0,fresh_state_each_iteration,thread_timeout_wrapper,2,main,918.0,False,success,0.04584193229675293,,
50.0,fresh_state_each_iteration,thread_timeout_wrapper,3,main,902.0,False,success,0.12112212181091309,,
50.0,fresh_state_each_iteration,thread_timeout_wrapper,3,probe,903.0,False,success,0.044867753982543945,,
75.0,fresh_state_each_iteration,thread_timeout_wrapper,-1,initial_mid,950.0,False,success,0.0399012565612793,,
75.0,fresh_state_each_iteration,thread_timeout_wrapper,0,main,824.0,False,success,0.09920167922973633,,
75.0,fresh_state_each_iteration,thread_timeout_wrapper,0,probe,825.0,False,success,0.08350086212158203,,
75.0,fresh_state_each_iteration,thread_timeout_wrapper,1,main,887.0,False,success,0.0421140193939209,,
75.0,fresh_state_each_iteration,thread_timeout_wrapper,2,main,856.0,False,success,0.08452105522155762,,
75.0,fresh_state_each_iteration,thread_timeout_wrapper,2,probe,857.0,False,success,0.07939410209655762,,
75.0,fresh_state_each_iteration,thread_timeout_wrapper,3,main,872.0,False,success,0.08249306678771973,,
75.0,fresh_state_each_iteration,thread_timeout_wrapper,3,probe,873.0,False,success,0.0858910083770752,,
75.0,fresh_state_each_iteration,thread_timeout_wrapper,4,main,880.0,False,success,0.042304039001464844,,
75.0,fresh_state_each_iteration,thread_timeout_wrapper,5,main,876.0,False,success,0.043614864349365234,,
75.0,fresh_state_each_iteration,thread_timeout_wrapper,6,main,874.0,False,success,0.07797718048095703,,
75.0,fresh_state_each_iteration,thread_timeout_wrapper,6,probe,875.0,False,success,0.11012983322143555,,
100.0,fresh_state_each_iteration,thread_timeout_wrapper,-1,initial_mid,950.0,False,success,0.03284025192260742,,
100.0,fresh_state_each_iteration,thread_timeout_wrapper,0,main,824.0,False,success,0.08553504943847656,,
100.0,fresh_state_each_iteration,thread_timeout_wrapper,0,probe,825.0,False,success,0.07855606079101562,,
100.0,fresh_state_each_iteration,thread_timeout_wrapper,1,main,887.0,False,success,0.04131793975830078,,
100.0,fresh_state_each_iteration,thread_timeout_wrapper,2,main,856.0,False,success,0.04259514808654785,,
100.0,fresh_state_each_iteration,thread_timeout_wrapper,3,main,840.0,False,success,0.08551979064941406,,
100.0,fresh_state_each_iteration,thread_timeout_wrapper,3,probe,841.0,False,success,0.07753896713256836,,
100.0,fresh_state_each_iteration,thread_timeout_wrapper,4,main,848.0,False,success,0.07967686653137207,,
100.0,fresh_state_each_iteration,thread_timeout_wrapper,4,probe,849.0,False,success,0.08069396018981934,,
100.0,fresh_state_each_iteration,thread_timeout_wrapper,5,main,852.0,False,success,0.08577585220336914,,
100.0,fresh_state_each_iteration,thread_timeout_wrapper,5,probe,853.0,False,success,0.08476901054382324,,
100.0,fresh_state_each_iteration,thread_timeout_wrapper,6,main,854.0,False,success,0.09012293815612793,,
100.0,fresh_state_each_iteration,thread_timeout_wrapper,6,probe,855.0,False,success,0.03830313682556152,,
50.0,fresh_state_after_exception,thread_timeout_wrapper,-1,initial_mid,950.0,False,success,0.04175996780395508,,
50.0,fresh_state_after_exception,thread_timeout_wrapper,0,main,824.0,True,success,0.7768959999084473,,
50.0,fresh_state_after_exception,thread_timeout_wrapper,0,probe,825.0,True,success,0.1900169849395752,,
50.0,fresh_state_after_exception,thread_timeout_wrapper,1,main,887.0,True,success,0.3132951259613037,,
50.0,fresh_state_after_exception,thread_timeout_wrapper,1,probe,888.0,True,none,0.03841209411621094,,
75.0,fresh_state_after_exception,thread_timeout_wrapper,-1,initial_mid,950.0,False,success,0.04365730285644531,,
75.0,fresh_state_after_exception,thread_timeout_wrapper,0,main,824.0,True,success,0.04700016975402832,,
75.0,fresh_state_after_exception,thread_timeout_wrapper,0,probe,825.0,True,success,0.03229165077209473,,
75.0,fresh_state_after_exception,thread_timeout_wrapper,1,main,887.0,True,success,0.10180115699768066,,
75.0,fresh_state_after_exception,thread_timeout_wrapper,1,probe,888.0,True,success,0.06316423416137695,,
100.0,fresh_state_after_exception,thread_timeout_wrapper,-1,initial_mid,950.0,False,success,0.040268898010253906,,
100.0,fresh_state_after_exception,thread_timeout_wrapper,0,main,824.0,True,success,0.04479622840881348,,
100.0,fresh_state_after_exception,thread_timeout_wrapper,0,probe,825.0,True,success,0.042243242263793945,,
100.0,fresh_state_after_exception,thread_timeout_wrapper,1,main,887.0,True,success,0.09074831008911133,,
100.0,fresh_state_after_exception,thread_timeout_wrapper,1,probe,888.0,True,success,0.05343198776245117,,
50.0,fresh_state_probe_only,thread_timeout_wrapper,-1,initial_mid,950.0,False,success,0.039801836013793945,,
50.0,fresh_state_probe_only,thread_timeout_wrapper,0,main,824.0,True,success,0.7935271263122559,,
50.0,fresh_state_probe_only,thread_timeout_wrapper,0,probe,825.0,False,success,0.5850479602813721,,
50.0,fresh_state_probe_only,thread_timeout_wrapper,1,main,887.0,True,none,0.2166919708251953,,
50.0,fresh_state_probe_only,thread_timeout_wrapper,2,main,912.0,True,none,0.0025649070739746094,,
50.0,fresh_state_probe_only,thread_timeout_wrapper,3,main,937.0,True,none,0.001760721206665039,,
50.0,fresh_state_probe_only,thread_timeout_wrapper,4,main,962.0,True,none,0.0016751289367675781,,
50.0,fresh_state_probe_only,thread_timeout_wrapper,5,main,987.0,True,none,0.0016379356384277344,,
75.0,fresh_state_probe_only,thread_timeout_wrapper,-1,initial_mid,950.0,False,success,0.0398859977722168,,
75.0,fresh_state_probe_only,thread_timeout_wrapper,0,main,824.0,True,success,0.043585777282714844,,
75.0,fresh_state_probe_only,thread_timeout_wrapper,0,probe,825.0,False,success,0.08044004440307617,,
75.0,fresh_state_probe_only,thread_timeout_wrapper,1,main,887.0,True,success,0.0645749568939209,,
75.0,fresh_state_probe_only,thread_timeout_wrapper,1,probe,888.0,False,success,0.0384519100189209,,
100.0,fresh_state_probe_only,thread_timeout_wrapper,-1,initial_mid,950.0,False,success,0.031414031982421875,,
100.0,fresh_state_probe_only,thread_timeout_wrapper,0,main,824.0,True,success,0.040853023529052734,,
100.0,fresh_state_probe_only,thread_timeout_wrapper,0,probe,825.0,False,success,0.08199787139892578,,
100.0,fresh_state_probe_only,thread_timeout_wrapper,1,main,887.0,True,none,0.12609195709228516,,
100.0,fresh_state_probe_only,thread_timeout_wrapper,2,main,912.0,True,none,0.002076864242553711,,
100.0,fresh_state_probe_only,thread_timeout_wrapper,3,main,937.0,True,none,0.002301931381225586,,
100.0,fresh_state_probe_only,thread_timeout_wrapper,4,main,962.0,True,none,0.0019249916076660156,,
100.0,fresh_state_probe_only,thread_timeout_wrapper,5,main,987.0,True,none,0.002009868621826172,,
