Sample Name,KCP109C,KCP109B,KCP109A,KHD-106-A,KHD-105-G,KHD-105-D,KHD-105-E,KKC-103-A,KHD-105-B,KHD-105-F,KHD-107-C,KCP-114-A,KHD-107-A,KHD-107-D,KHD-105-B-2
SiO2,75.82,76.36,76.62,75.80,76.23,76.07,76.36,76.42,76.19,71.78,74.33,76.10,75.45,75.43,76.12
TiO2,0.082,0.069,0.079,0.131,0.058,0.092,0.091,0.079,0.076,0.249,0.173,0.133,0.091,0.141,0.095
Al2O3,12.95,12.65,12.48,12.90,13.05,13.07,12.95,12.86,12.98,14.62,13.45,12.93,13.13,13.06,12.82
FeO*,0.66,0.52,0.62,1.10,0.45,0.64,0.59,0.50,0.59,2.03,1.39,0.83,0.80,0.79,0.85
MnO,0.031,0.024,0.026,0.035,0.005,0.008,0.008,0.006,0.007,0.042,0.020,0.022,0.016,0.014,0.010
MgO,0.09,0.05,0.06,0.16,0.05,0.08,0.07,0.06,0.07,0.37,0.25,0.19,0.09,0.22,0.12
CaO,0.70,0.54,0.53,1.06,0.96,1.04,0.90,1.01,1.00,2.17,1.46,1.14,0.96,1.17,0.94
Na2O,4.37,3.97,3.98,3.21,3.08,3.43,3.23,2.84,2.95,3.79,3.11,3.47,2.94,2.74,2.81
K2O,4.01,4.61,4.46,4.98,5.43,4.85,5.34,5.62,5.54,4.13,5.22,4.63,5.91,5.82,5.67
P2O5,0.009,0.006,0.004,0.052,0.005,0.010,0.008,0.034,0.014,0.083,0.059,0.044,0.028,0.035,0.013
