Sample Name,KCP109C,KCP109B,KCP109A,KHD-106-A,KHD-105-G,KHD-105-D,KHD-105-E,KKC-103-A,KHD-105-B,KHD-105-F,KHD-107-C,KCP-114-A,KHD-107-A,KHD-107-D,KHD-105-B-2
SiO2,75.82,76.36,76.62,75.80,76.23,76.07,76.36,76.42,76.19,71.78,74.33,76.10,75.45,75.43,76.12
TiO2,0.082,0.069,0.079,0.131,0.058,0.092,0.091,0.079,0.076,0.249,0.173,0.133,0.091,0.141,0.095
Al2O3,12.95,12.65,12.48,12.90,13.05,13.07,12.95,12.86,12.98,14.62,13.45,12.93,13.13,13.06,12.82
FeO*,0.66,0.52,0.62,1.10,0.45,0.64,0.59,0.50,0.59,2.03,1.39,0.83,0.80,0.79,0.85
MnO,0.031,0.024,0.026,0.035,0.005,0.008,0.008,0.006,0.007,0.042,0.020,0.022,0.016,0.014,0.010
MgO,0.09,0.05,0.06,0.16,0.05,0.08,0.07,0.06,0.07,0.37,0.25,0.19,0.09,0.22,0.12
CaO,0.70,0.54,0.53,1.06,0.96,1.04,0.90,1.01,1.00,2.17,1.46,1.14,0.96,1.17,0.94
Na2O,4.37,3.97,3.98,3.21,3.08,3.43,3.23,2.84,2.95,3.79,3.11,3.47,2.94,2.74,2.81
K2O,4.01,4.61,4.46,4.98,5.43,4.85,5.34,5.62,5.54,4.13,5.22,4.63,5.91,5.82,5.67
P2O5,0.009,0.006,0.004,0.052,0.005,0.010,0.008,0.034,0.014,0.083,0.059,0.044,0.028,0.035,0.013
,,,,,,,,,,,,,,,
HAL 2-sigma at 95% confidence interval,KCP109C,KCP109B,KCP109A,KHD-106-A,KHD-105-G,KHD-105-D,KHD-105-E,KKC-103-A,KHD-105-B,KHD-105-F,KHD-107-C,KCP-114-A,KHD-107-A,KHD-107-D,KHD-105-B-2
SiO2,0.3576,0.3587,0.3593,0.3575,0.3585,0.3581,0.3587,0.3589,0.3584,0.3492,0.3544,0.3582,0.3017,0.3244,0.3568
TiO2,0.0111,0.0106,0.0110,0.0127,0.0101,0.0115,0.0114,0.0110,0.0109,0.0152,0.0137,0.0127,0.0810,0.0401,0.0100
Al2O3,0.1474,0.1469,0.1466,0.1474,0.1476,0.1477,0.1475,0.1473,0.1475,0.1505,0.1484,0.1474,0.1870,0.1769,0.1487
FeO*,0.0500,0.0432,0.0482,0.0671,0.0399,0.0489,0.0467,0.0424,0.0464,0.0967,0.0771,0.0568,0.2886,0.1702,0.0451
MnO,0.0028,0.0026,0.0027,0.0029,0.0016,0.0019,0.0019,0.0017,0.0018,0.0031,0.0025,0.0025,0.0123,0.0101,0.0065
MgO,0.0223,0.0186,0.0187,0.0276,0.0179,0.0214,0.0207,0.0192,0.0208,0.0382,0.0330,0.0294,0.4235,0.1097,0.0190
CaO,0.0388,0.0352,0.0350,0.0455,0.0437,0.0451,0.0426,0.0447,0.0444,0.0614,0.0519,0.0468,0.2064,0.1093,0.0325
Na2O,0.0988,0.0965,0.0965,0.0915,0.0905,0.0930,0.0916,0.0887,0.0896,0.0953,0.0908,0.0933,0.1223,0.1459,0.1378
K2O,0.0525,0.0558,0.0550,0.0577,0.0600,0.0570,0.0596,0.0610,0.0606,0.0532,0.0590,0.0559,0.0304,0.0353,0.0433
P2O5,0.0053,0.0049,0.0045,0.0075,0.0048,0.0054,0.0052,0.0069,0.0057,0.0083,0.0077,0.0072,0.0512,0.0320,0.0038
