Tab Names,,"Snapshot 1 | Sheet: KCP-109-C | Wednesday, February 11, 2026  11:08:24 PM",,,,,,,,,,,,,,,,,,,,,
KCP-109-C,,Oxide,Concentration,,,Iteration,Synthetic SiO2 Value,Synthetic TiO2 Value,Synthetic Al2O3 Value,Synthetic FeO Value,Synthetic MnO Value,Synthetic MgO Value,Synthetic CaO Value,Synthetic Na2O Value,Synthetic K2O Value,Synthetic P2O5 Value,,,,,,,
KCP-109-B,,SiO2,75.82046308,0.3575754,,1,76.28822443,0.059669847,13.04695036,0.643322296,0.035780297,0.101281661,0.642557927,4.489726469,3.954553845,0.021808209,,,,,,,
KCP-109-A,,TiO2,0.081973439,0.011113103,,2,76.12964967,0.075126711,12.90850137,0.667325014,0.026541847,0.127044853,0.710469971,4.316284494,4.063870644,-0.002401961,,,,,,,
KCP-110-A,,Al2O3,12.94619853,0.147440412,,3,74.96268805,0.0619265,12.96071524,0.656584035,0.02790641,0.08091896,0.65986276,4.401716427,3.982320298,0.00869756,,,,,,,
KHD-106-A,,FeO*,0.663837051,0.049976381,,4,75.50196377,0.065099097,12.84595726,0.655490627,0.032188468,0.097903398,0.708540671,4.193390672,3.938004553,0.013950877,,,,,,,
KHD-105-G,,MnO,0.031222587,0.002801792,,5,75.39195627,0.087527945,13.06861555,0.697872656,0.033905946,0.135813662,0.742119131,4.360707463,4.133836133,0.010315265,,,,,,,
KHD-105-D,,MgO,0.089307918,0.022295831,,6,76.23196982,0.061120176,12.99217193,0.72525807,0.031100667,0.054068602,0.631818013,4.403977479,4.064140884,0.004486864,,,,,,,
KHD-105-E,,CaO,0.702541634,0.038769488,,7,76.26518696,0.068883896,12.8608381,0.636885902,0.032269306,0.086733758,0.722612866,4.494614158,3.987616945,0.009283171,,,,,,,
KKC-103-A,,Na2O,4.374870147,0.098833696,,8,76.20018661,0.07962717,12.999157,0.585067047,0.036222592,0.134758269,0.789398684,4.283442579,4.04277639,-0.001009048,,,,,,,
KHD-105-B,,K2O,4.00942002,0.052526205,,9,75.68735615,0.083569445,12.84294082,0.716147344,0.039708507,0.119682938,0.692451595,4.381655114,4.043089812,0.013146124,,,,,,,
KCP-114-A,,P2O5,0.00879351,0.00526525,,10,75.73199088,0.105736822,12.82045942,0.622466547,0.029530152,0.069206093,0.707012134,4.39073785,4.038975124,0.015029945,,,,,,,
KHD-105-F,,,,,,11,75.74290228,0.081663465,12.86566659,0.611727547,0.032544164,0.056889322,0.736352094,4.321685558,3.953094032,-0.00177804,,,,,,,
KHD-107-C,,,,,,12,74.72427094,0.088702832,13.22235953,0.708719656,0.032607684,0.097612518,0.812376108,4.400906887,4.065236924,0.006311544,,,,,,,
KHD-107-D,,,,,,13,75.33896058,0.08043496,12.9719648,0.728702631,0.034202128,0.076894598,0.723603677,4.438964704,3.943304915,0.001686448,,,,,,,
KHD-107-A,,,,,,14,76.05217105,0.077211214,13.01584209,0.646828972,0.028325421,0.101890127,0.664671141,4.244250215,4.003021727,0.003231919,,,,,,,
KHD-105-B-2,,,,,,15,76.0777696,0.076233729,13.03657257,0.583683105,0.031136586,0.087957847,0.674135886,4.471893018,4.008320442,0.00430609,,,,,,,
TEMPLATE1,,,,,,16,76.18613685,0.081467879,12.83372779,0.720268476,0.032656802,0.094543271,0.690842816,4.183606969,4.061114897,0.007994555,,,,,,,
,,,,,,17,75.95059594,0.075212295,13.09657243,0.663713707,0.034527876,0.062766774,0.709797145,4.351165958,3.968355106,0.010549253,,,,,,,
,,,,,,18,75.83822659,0.082985131,12.99875617,0.697121559,0.033577409,0.11345332,0.671125746,4.382035551,4.015092633,0.006897915,,,,,,,
,,,,,,19,76.01153268,0.085662186,12.90733413,0.697151752,0.030499803,0.114044699,0.655702776,4.523861982,3.955362752,0.01460667,,,,,,,
,,,,,,20,75.53342949,0.082954948,12.63268187,0.752604646,0.032282258,0.098873794,0.664590043,4.329586894,4.05975278,0.005419303,,,,,,,
,,,,,,21,76.15163156,0.104688666,12.91575052,0.737358761,0.030953393,0.05227043,0.665291844,4.245703248,4.048460578,0.004995879,,,,,,,
,,,,,,22,75.98659276,0.093459549,12.77042719,0.588169849,0.032129719,0.074435922,0.758722324,4.518961642,4.000542871,0.013794527,,,,,,,
,,,,,,23,75.71551782,0.099609449,12.7270649,0.720250831,0.032527214,0.101531888,0.67223941,4.427730335,4.072530047,0.020520159,,,,,,,
,,,,,,24,75.81468546,0.074054238,12.68071787,0.579551398,0.030418482,0.086743318,0.631695252,4.470370257,4.060722514,0.004669046,,,,,,,
,,,,,,25,75.85377814,0.07002251,12.98100765,0.72413783,0.027919194,0.099470768,0.679802835,4.268019203,4.000610931,0.006892401,,,,,,,
,,,,,,26,75.40788628,0.080980117,12.80978624,0.616738895,0.029793565,0.166859948,0.622982281,4.432142841,4.047858754,0.002809968,,,,,,,
,,,,,,27,75.94470594,0.08649473,13.00085503,0.698065142,0.025791082,0.090652602,0.758027205,4.592700134,3.995709174,0.004955562,,,,,,,
,,,,,,28,75.52584644,0.067422043,12.93728663,0.554803881,0.031012383,0.133993837,0.669881094,4.430440307,4.075880305,0.005651575,,,,,,,
,,,,,,29,75.56754877,0.073650203,12.88025572,0.670707582,0.035838141,0.084723749,0.713139345,4.368103672,3.962500097,0.001070696,,,,,,,
,,,,,,30,75.9878187,0.076682348,13.08416046,0.702948555,0.032514589,0.10455026,0.767757908,4.322638995,3.947601059,-0.000668929,,,,,,,
,,,,,,31,75.44310514,0.087123194,12.98797309,0.662074964,0.035513075,0.087556194,0.722222578,4.606278731,4.049331481,0.009681853,,,,,,,
,,,,,,32,75.09359352,0.070149515,12.85570539,0.696319885,0.030366064,0.082250736,0.673925427,4.297518663,3.957498348,0.012389635,,,,,,,
,,,,,,33,75.02288056,0.092130273,12.93130602,0.705995757,0.030046426,0.11031967,0.701364023,4.311348424,4.048202851,0.003480543,,,,,,,
,,,,,,34,75.98374589,0.080660384,13.25298658,0.680302627,0.026162338,0.135623043,0.684995451,4.35385348,4.014837006,0.0131541,,,,,,,
,,,,,,35,75.8592748,0.094777743,13.17228757,0.639047211,0.02600253,0.080865193,0.794553788,4.272995029,4.051946603,0.003509846,,,,,,,
,,,,,,36,76.25641872,0.080995615,12.92486548,0.701949523,0.035197986,0.081700434,0.72100407,4.274272074,4.073459613,0.010210096,,,,,,,
,,,,,,37,75.68904881,0.059221093,13.02211478,0.656278371,0.033353674,0.098798901,0.662312595,4.391083676,3.998392875,0.013089525,,,,,,,
,,,,,,38,75.90571742,0.080797558,13.05202741,0.649773326,0.028932422,0.124822704,0.678606657,4.291589348,4.045447006,0.005750914,,,,,,,
,,,,,,39,76.61507278,0.066423559,12.98515645,0.697600343,0.032312323,0.110562199,0.730298536,4.443903677,4.086376897,0.015039626,,,,,,,
,,,,,,40,76.15206128,0.093337187,12.92109593,0.5940124,0.032859889,0.101445493,0.743023849,4.294293263,4.09363404,0.004844556,,,,,,,
,,,,,,41,76.6681331,0.083166782,13.02366921,0.721907219,0.030559383,0.080389222,0.684808512,4.292970552,3.968963745,0.006681214,,,,,,,
,,,,,,42,75.6893893,0.074457528,12.91688565,0.636916119,0.033742961,0.060268432,0.796402728,4.153713062,3.995900017,0.004167004,,,,,,,
,,,,,,43,75.24152951,0.053580086,12.89290412,0.672223456,0.033038226,0.101655398,0.727641524,4.36040862,4.009675466,0.007824279,,,,,,,
,,,,,,44,76.26764191,0.081751658,13.35050893,0.642164753,0.029425404,0.076079652,0.716431122,4.346175559,4.044884755,0.005336009,,,,,,,
,,,,,,45,75.71980614,0.067717155,12.93830086,0.749684735,0.029418895,0.085690005,0.639520399,4.311318826,4.068901288,0.008386644,,,,,,,
,,,,,,46,75.78303762,0.079947218,12.86469999,0.626830794,0.0355748,0.106023157,0.723679633,4.312482371,3.989706294,0.00220129,,,,,,,
