Sample,Type,SiO2,TiO2,Al2O3,Fe2O3,Cr2O3,FeO,MnO,MgO,NiO,CoO,CaO,Na2O,K2O,P2O5,H2O,CO2,SO3,Cl2O-1,F2O-1,LOI (%),sumMaj+LOI,sumAll,F >=,Cl >=,SO3 >=,Br >=,As >=,Ni,Cr,V,Sc,Cu,Zn,Ga,Ba,Rb,Cs,Sr,Y,Zr,Hf,Nb,Ta,Mo,La,Ce,Nd,Sm,Dy,Yb,Th,U,Tl,Pb,Sn,Bi,Sb
KHD105H,host,66.06640588,0.548860904,15.62438485,,,3.732880037,0.076576136,1.524711474,,,3.776395608,3.642991494,3.377294233,0.17994505,,,,,,0.61,99.16044567,99.44355757,0.034754117,0.005467513,0.032797704,3.020714606,5.333702229,2.880845827,3.098492723,69.93218148,5.113507564,8.581462917,65.16061193,18.31115673,905.9018404,119.1358128,5.528276616,543.5296858,15.3622974,135.23464,5.226225945,9.971318887,0.859266213,3.246926805,26.87038403,65.96772613,27.7727408,5.50853669,2.776006885,2.371974724,18.24610519,6.459493844,2.25964713,15.63842029,0.906214382,0.115245257,0.604142921
KKC103B,host,59.48855829,0.885564461,16.8933121,,,6.088012153,0.105993532,3.120577423,,,5.791956419,3.472645844,2.432115825,0.214490453,,,,,,0.69,99.1832265,99.4793978,0.046879029,0.027912806,0.026459991,2.454377845,4.740612221,12.33044465,21.3451715,148.9733738,15.01622953,32.80270965,82.44867864,19.18425402,624.9991452,114.7016044,7.953100211,521.2822449,19.46959978,164.6911896,4.995739236,8.113546348,0.858755673,1.857654574,24.06736724,52.55742,23.28288881,4.819821868,3.500331806,2.359591905,13.14603641,2.695031375,1.322610384,12.61736095,n.d.,0.096577265,0.511328718
KHD107B,host,63.81192165,0.644780513,16.61755423,,,4.147709044,0.08526922,1.756226002,,,4.521934721,4.016626806,2.876374211,0.219198426,,,,,,0.42,99.11759482,99.43375745,0.041201467,0.005834009,0.044022554,2.175197554,5.339355049,4.138936562,3.167979877,81.24719666,7.773163156,10.65418346,73.80032454,19.82552521,932.1437762,95.38872843,3.497014396,670.7004142,13.53455788,148.7384486,4.1725,9.441304369,0.877512622,2.555622239,32.34477917,64.54349804,23.68920427,4.195133615,2.655695262,2.431096911,9.815123314,3.943840476,0.945919863,15.92900934,0.621485015,0.137955528,0.621485015
KCP109D,host,68.59135443,0.438112479,15.64036682,,,2.427770903,0.063994995,0.777234415,,,2.696797238,4.550225641,3.315973433,0.162275087,,,,,,0.46,99.12410543,99.37109302,0.036903816,0.004046325,0.009647883,2.137048796,7.394702333,n.d.,2.10803354,42.37037343,2.904126717,5.531148534,67.93924712,21.0742111,668.3366688,144.5735133,5.918622832,637.5996593,9.651797209,153.7721014,4.37730051,8.770352508,0.783531273,2.259186807,37.6755454,63.87431737,23.37191615,3.353160649,1.931738236,2.061548695,16.41717238,7.082539115,1.703224352,18.05229485,n.d.,0.056440111,0.814113827
KCP109C,aplite,75.82046308,0.081973439,12.94619853,,,0.663837051,0.031222587,0.089307918,,,0.702541634,4.374870147,4.00942002,0.00879351,,,,,,0.3,99.02862791,99.18907473,0.047980562,0.001385198,0.046396563,2.648491422,8.597422303,n.d.,n.d.,7.317939446,0.847066054,4.75854025,22.82905795,20.49961424,81.75678483,186.9227427,6.99872685,71.18373626,4.491148506,86.94395902,5.402520535,4.618238695,0.84473648,n.d.,18.80060265,19.67281376,4.272242449,0.177723596,0.768513085,1.829516626,27.45764764,19.25596103,2.480307163,29.24070054,4.991387679,0.11624082,1.120515601
KCP114B,host,67.62292822,0.475611443,15.90044282,,,2.794763941,0.056633672,0.875509453,,,3.407064418,4.469776523,2.902462497,0.195938804,,,,,,0.39,99.0911318,99.37858288,0.038320277,0.003394121,0.045167054,1.544730957,4.853794685,3.264049942,2.811279622,51.0356658,3.875731095,7.78679041,66.11616069,19.71480745,695.291764,88.18563053,4.797815271,725.4946814,10.58683824,155.8015105,5.581809543,9.12852829,0.858523513,3.36095016,29.94189964,55.67060596,24.89493761,4.36611294,2.150096305,1.680310909,5.363044558,2.062842809,1.332151985,15.75369962,1.750695085,0.123902028,0.514910319
KCP109B,aplite,76.36361256,0.069413154,12.65455713,,,0.517921571,0.023925037,0.054597604,,,0.54002262,3.972797206,4.609558798,0.005900858,,,,,,0.3,99.11230654,99.22223395,0.042440153,0.002468858,0.002946039,3.96064417,8.301509938,n.d.,n.d.,6.191946446,0.125782239,10.63713116,18.76190603,19.05559478,63.56436795,231.5588416,12.85357426,48.86864231,3.972233078,76.93550747,4.908265821,5.989078553,0.774350112,0.375225226,11.19188257,18.87162608,1.200014604,0.0814,0.669652301,1.534719488,25.25731671,9.941924468,2.665885566,30.85738722,0.304664936,0.195434615,1.117104766
KHD106B,host,65.146071,0.546540581,16.1259916,,,3.654955399,0.072742076,1.580362576,,,3.875722364,3.658421306,3.755210741,0.195418219,,,,,,0.48,99.09143587,99.4023674,0.042379187,0.005520834,0.018289852,3.671647934,6.392658555,2.495523956,2.966372035,71.31849698,6.932294893,11.04902529,62.53960865,17.84404067,1176.163842,113.6828934,4.201167691,588.1727124,16.06770544,134.7864921,5.321929784,9.74254779,0.854122822,2.6568,43.03885618,66.85227249,26.70073933,4.131962001,2.907899493,2.231251454,33.0607131,7.898540197,2.483403475,16.00198684,4.385579477,0.149595723,0.713931543
KCP109A,aplite,76.61621342,0.079308938,12.48142877,,,0.623441156,0.026244603,0.055272169,,,0.530664537,3.981179198,4.460937218,0.003877476,,,,,,0.25,99.10856748,99.21776092,0.042801514,0.002052821,0.000782724,3.724479116,8.426986836,n.d.,n.d.,7.751910053,1.855120946,7.052109172,14.2090196,21.04908431,49.15749582,231.6211312,6.94614613,24.34461026,3.737201616,102.9070931,6.036249482,5.515258804,0.775384201,0.690275027,16.14503272,22.11937685,6.038059033,0.842884854,0.664543413,1.224119822,35.43180893,22.35686784,1.684340589,32.00842067,n.d.,0.141473315,1.107277575
KCP108-M,elizabeth,69.49499025,0.447259512,14.88105173,,,2.559605677,0.061802504,0.80450571,,,2.784781005,4.268706928,3.132742829,0.168058643,,,,,,0.57,99.17350478,99.37704075,0.040161802,0.002192372,n.d.,2.274355065,5.332629242,n.d.,0.90262116,43.11778284,3.367973318,4.659005862,66.2511992,20.19078435,365.5776953,128.8948903,7.137758859,618.7834165,10.21607172,147.7141686,4.838265755,8.632940671,0.834462197,1.848949081,37.06069644,63.27330232,23.95412894,3.600612972,1.96099402,1.936983765,12.26005618,5.155742181,1.140728251,17.72802324,2.481114616,0.070342168,0.620278654
