,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5
nan,76.5013638,0.065759029,12.45939442,0.518972786,0.024787721,0.072155292,0.570261896,3.903717416,4.530558631,0.005839597
nan,76.75369479,0.077744349,12.42543736,0.528506376,0.026818279,0.033275551,0.563422158,3.672926798,4.584183605,0.007010953
nan,76.33502068,0.059368158,12.55386914,0.479526644,0.021942868,0.026917669,0.522082201,4.15873164,4.671548015,0.007513932
nan,76.68663002,0.057436384,12.726127,0.550799405,0.02248228,0.025945494,0.520657593,4.151701622,4.540391153,-0.002878352
nan,77.26204983,0.065858908,12.62377,0.490982158,0.023842906,0.056295254,0.529913325,4.05949295,4.530926975,0.001171423
nan,75.83144029,0.064858681,12.67006313,0.548728348,0.026291387,0.045843223,0.55013609,4.06400677,4.626238421,0.003516958
nan,76.88583627,0.075693402,12.52201714,0.466578145,0.022178278,0.062807768,0.567461502,4.004312227,4.657045317,0.000720389
nan,76.48743224,0.07278276,12.79267366,0.533745836,0.020834621,0.099286672,0.466196805,3.961218226,4.499483847,0.006948195
nan,76.15970601,0.073445412,12.59380477,0.489762638,0.021671995,0.068989364,0.578633182,3.985098343,4.614903004,0.011931072
nan,76.29199591,0.062314904,12.70283626,0.468110199,0.021304771,0.060874391,0.575572406,3.99506876,4.560054845,0.013699337
nan,76.66010686,0.068463387,12.56407998,0.596983503,0.019474127,0.044516218,0.523526109,3.977619387,4.559992472,0.00053715
nan,76.11059767,0.063484526,12.72600459,0.435170835,0.021634772,0.061795506,0.530173984,4.060474793,4.531208996,0.00952291
nan,76.58905192,0.076045309,12.66070818,0.468264817,0.025602902,0.080757041,0.522671411,3.97036318,4.606055522,0.008745953
nan,76.5429356,0.06691371,12.85718897,0.568431012,0.028001938,0.03277038,0.469657487,4.042887498,4.575866234,0.009956277
nan,76.75104112,0.069660006,12.54100268,0.483644492,0.026358147,0.041663006,0.529467135,3.96186781,4.669944574,0.005307335
nan,76.52475266,0.086979598,12.58964794,0.485952998,0.025484982,0.056824753,0.583293347,4.053723526,4.649018814,0.004364699
nan,76.82055473,0.070247699,12.20356347,0.525527489,0.026394028,0.046340298,0.533672089,3.909487117,4.545619723,0.00395485
nan,75.88646656,0.058576217,12.58395405,0.531846473,0.021973071,0.074239906,0.543271945,3.923942601,4.618377902,0.009092683
nan,77.14202096,0.052472534,12.58677473,0.523166332,0.024546357,0.073961713,0.502526219,3.983041299,4.563322393,0.005876478
nan,76.21406564,0.064369862,12.93449637,0.516884031,0.024568799,0.071204173,0.542383986,4.059803956,4.547883887,0.003007395
nan,76.42976505,0.072167742,12.56071317,0.537693749,0.025277304,0.035724669,0.527313091,3.996331228,4.5830882,0.008739434
nan,76.16331609,0.065215876,12.87531677,0.487395537,0.021450481,0.053350022,0.566535268,4.009321644,4.609074747,-0.003563193
nan,76.22124301,0.063274446,12.70586323,0.485180896,0.024570602,0.056452716,0.592797238,4.036362332,4.595633618,0.009349306
nan,76.36450086,0.061777727,12.58466362,0.501739685,0.024583167,0.019872385,0.55145156,4.156364114,4.560165995,0.010882337
nan,75.74236263,0.086910013,12.50227001,0.511919877,0.024735904,0.065034728,0.492265573,3.938732041,4.509968797,0.007636663
nan,76.64219855,0.067639459,12.49714145,0.484773371,0.020286198,0.047444745,0.625405614,3.893249828,4.621310196,0.011246284
nan,75.76476722,0.071535096,12.79683048,0.599769953,0.023161036,0.052778389,0.552876023,3.86535192,4.527170215,-0.000208784
nan,76.36749182,0.077911293,12.48975297,0.619155478,0.026938635,0.046085718,0.525046174,4.021455612,4.614975755,0.007412087
nan,75.9408416,0.060619631,12.40727552,0.533927405,0.022718954,0.059186472,0.56439654,4.04503727,4.637009333,0.008047794
nan,76.46383993,0.046093848,12.6134697,0.547345256,0.024574567,0.064788035,0.577820983,4.042524956,4.657844381,0.010313018
nan,76.30499519,0.087420958,12.43304104,0.547405712,0.024389675,0.064572589,0.469845223,3.898124679,4.652673151,0.002185618
nan,76.08405207,0.079603318,12.58909964,0.559267546,0.021585199,0.056324288,0.557680417,3.832681645,4.550488986,0.000633131
nan,76.98537282,0.057425171,12.58075003,0.530145163,0.02230563,0.048669447,0.559929276,4.002373906,4.73512151,0.010422311
nan,76.41962124,0.067471343,12.75146868,0.576424964,0.01982059,0.012947407,0.539811265,3.956107899,4.567389198,-0.004197192
nan,76.77457296,0.086989941,12.4674367,0.490657559,0.026020363,0.052192619,0.570153436,3.891443757,4.724675558,0.00734229
nan,76.28843475,0.068975807,12.7663191,0.474950058,0.024224533,0.062059393,0.50599377,3.961081335,4.580398456,0.003459039
nan,76.36032442,0.066818042,12.51530071,0.57529993,0.02462915,0.038308964,0.545681124,3.898467623,4.658100486,0.003206335
nan,76.43978121,0.051933028,12.8337723,0.542258674,0.023613007,0.048379152,0.497051281,3.911661769,4.587129546,0.009041442
nan,76.2255819,0.052244552,12.56499018,0.407285766,0.022070797,0.044024714,0.56995443,3.993595725,4.654436875,0.002261021
nan,75.90116547,0.064758766,12.75435403,0.602277954,0.020186914,0.047976516,0.456040177,4.087122467,4.580071006,-0.002144882
nan,76.95485393,0.074578623,12.44779087,0.475372699,0.024701126,0.054978565,0.553984442,4.097185174,4.606606321,0.009092241
nan,76.62443013,0.067990559,12.73839597,0.53071632,0.019771912,0.061302927,0.548513363,4.147400027,4.620850023,0.002524122
nan,76.01454542,0.042081865,12.55456774,0.574168937,0.018822333,0.059703312,0.519706078,4.108709119,4.64538889,0.014224221
nan,76.01146977,0.071125291,12.37597033,0.49970313,0.02393725,0.043857313,0.574814904,3.854312675,4.632825995,0.010131054
nan,77.46671264,0.078257997,12.76024795,0.571057558,0.024704627,0.071466173,0.531209509,3.967221885,4.738903042,0.013762518
nan,76.10881832,0.036320694,12.48380056,0.501021868,0.025110481,0.019409681,0.55721442,4.07477267,4.633137087,-5.48277e-06
nan,76.1855907,0.077708718,12.66584029,0.560579809,0.025668933,0.090498457,0.52779364,3.790825351,4.550602732,-0.008877295
nan,76.48753796,0.071537346,12.70361278,0.428892868,0.025688497,0.070447591,0.588727283,3.909538038,4.557721521,0.000260407
nan,75.79950076,0.085203303,12.93531379,0.525877042,0.027976867,0.078407723,0.466622228,4.016461545,4.535087692,0.002818193
nan,76.23816017,0.0466648,12.44572047,0.468000411,0.027383206,0.053311214,0.597427203,3.874056714,4.622612167,0.005876687
nan,75.98266004,0.07729122,12.85318863,0.528186232,0.019314338,0.044741944,0.490454612,3.97487628,4.665067219,-0.003388615
nan,76.01989523,0.06885654,12.61088632,0.497376506,0.022858249,0.052192256,0.52072267,3.918721029,4.567482051,0.002955732
nan,76.72702984,0.065566528,12.91859272,0.547627291,0.022041542,0.072923268,0.494828524,4.152061629,4.652317891,0.00344787
nan,76.56327135,0.072843154,12.67355988,0.523355394,0.02428032,0.010757907,0.548995407,4.107467907,4.565464773,0.003742431
