,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5
nan,75.65994268,0.129475719,12.8261332,0.781774979,0.023503928,0.220140406,1.084801442,3.532383205,4.641139669,0.042499998
nan,75.80372692,0.151978834,13.00116664,0.820742242,0.023908432,0.20888558,1.090641099,3.368615342,4.604924585,0.036648744
nan,75.6337864,0.146342272,12.99594381,0.827975274,0.020157284,0.205479342,1.166426913,3.403286649,4.547260591,0.035798643
nan,75.8631705,0.13623562,12.88016909,0.91763549,0.020380403,0.201608863,1.121119223,3.422970905,4.540423626,0.034159329
nan,75.86035435,0.1182215,12.90463538,0.847307985,0.020725857,0.222649223,1.177313275,3.469207626,4.652554311,0.036244409
nan,75.53170905,0.139115867,12.79461836,0.93605864,0.026198147,0.162517641,1.224277118,3.620523597,4.671610177,0.037320274
nan,76.11554443,0.132521239,12.86611365,0.854753872,0.018588493,0.18892098,1.095519659,3.592396859,4.656767293,0.055328786
nan,75.29548169,0.151244245,12.87687639,0.806729221,0.024143551,0.173077625,1.121129802,3.406876389,4.662809988,0.041338449
nan,75.75978356,0.132804375,12.75915304,0.806335536,0.020195853,0.150112497,1.127087399,3.601787194,4.630441022,0.044166738
nan,76.04415045,0.129068741,12.89432656,0.839206713,0.017166216,0.141975138,1.170562184,3.534282663,4.537245206,0.04196124
nan,75.91798126,0.140341895,13.04410863,0.871870904,0.024258841,0.137108817,1.160895028,3.48913973,4.673446572,0.034246454
nan,75.91429972,0.138813766,12.8189504,0.81459515,0.021501266,0.171935607,1.220750874,3.477694795,4.672912676,0.042995867
nan,75.92055966,0.138369949,12.70616691,0.896051134,0.023139616,0.196644974,1.197476274,3.325024158,4.529352735,0.042998696
nan,75.97193668,0.142489135,12.91276485,0.762304519,0.021791361,0.172882027,1.134237074,3.525119308,4.540965275,0.037851974
nan,75.85863953,0.135390337,12.98254104,0.855714812,0.019178977,0.262780506,1.163693603,3.492931275,4.593031351,0.050199673
nan,75.74303266,0.117585063,12.74582766,0.847985017,0.026797556,0.216450022,1.204280597,3.720697341,4.670054571,0.03844178
nan,76.38906574,0.151206499,12.98584381,0.845777368,0.020145746,0.179151631,1.109256545,3.408130548,4.585768322,0.037918386
nan,75.8425203,0.124624113,12.86451665,0.827758228,0.021762438,0.217354095,1.168787541,3.433178175,4.616175895,0.049653686
nan,76.6548822,0.137676139,12.99413895,0.85233243,0.022071099,0.234951686,1.091198987,3.547381422,4.6124803,0.055921169
nan,76.71665285,0.143484759,12.5914428,0.889694435,0.018008947,0.157591244,1.099656876,3.491224927,4.507943842,0.045668002
nan,75.93600646,0.11097955,12.97296235,0.789886936,0.021712622,0.213053263,1.133912816,3.477063763,4.557495602,0.041656244
nan,75.53332446,0.130140995,13.06882224,0.816299438,0.02155823,0.187047647,1.23244349,3.553485,4.615460683,0.0387076
nan,75.98229572,0.116741256,12.85206506,0.825414132,0.018912846,0.172044993,1.0731101,3.537126521,4.681891386,0.044659448
nan,75.91604524,0.128281194,12.74941555,0.785820868,0.021798783,0.144941286,1.162245162,3.397389308,4.672607775,0.047005608
nan,76.02012356,0.117192117,13.26840576,0.851315034,0.021168627,0.196942444,1.146531904,3.464927267,4.610208689,0.0416755
nan,76.10363546,0.128020068,12.79929294,0.80920573,0.023581666,0.180520572,1.19978153,3.238558444,4.522787716,0.035190836
nan,76.30273104,0.127347922,12.71118342,0.902672355,0.019901133,0.200458889,1.111565269,3.353642563,4.591756671,0.031571629
nan,76.10242532,0.147855586,13.00094274,0.713579139,0.02406302,0.201973598,1.145585057,3.33670518,4.742957824,0.05090687
nan,75.8871458,0.149591516,12.73210694,0.874605057,0.023031997,0.210699477,1.157178216,3.402126704,4.741127431,0.036241148
nan,75.70116002,0.12809083,12.91379803,0.825622254,0.021295167,0.179601358,1.207041696,3.55627317,4.635906211,0.032885013
