,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5
nan,75.81826017,0.094469475,13.01280919,0.754342726,0.010480288,0.107755815,0.919397818,2.81130534,5.644436196,0.014738099
nan,76.67745929,0.090026304,13.02595135,0.830653351,0.014226598,0.104769413,0.974587675,2.941506163,5.686727819,0.011530558
nan,76.40097372,0.08480803,12.69186779,0.850459478,0.004084533,0.142696228,0.993341063,3.023797411,5.72133191,0.011277623
nan,76.12722869,0.119004986,13.01900917,0.900363053,0.008098754,0.129999655,0.94964323,2.934278696,5.671418492,0.016347738
nan,76.74677393,0.088971422,12.881043,0.9150079,0.014194603,0.089491368,0.910612869,2.761614729,5.697036915,0.015632556
nan,76.3021189,0.083630555,12.90768605,0.892284517,-0.000508873,0.130612374,0.961671332,2.599898003,5.705425032,0.013277739
nan,75.80456688,0.087635735,12.68409109,0.8851154,0.001233588,0.125000161,0.937284602,2.818889295,5.715729855,0.00922219
nan,76.3992683,0.106513048,12.79969391,0.855493388,0.005230084,0.119225627,0.93256337,2.701833042,5.669196285,0.017019779
nan,75.89596992,0.097726674,12.80605495,0.903109673,-0.003777296,0.1149513,0.978111364,3.053735723,5.667471603,0.017753946
nan,76.06915018,0.083559071,12.84720175,0.901614396,0.016032817,0.110449752,0.960606789,2.904925831,5.687551909,0.007461189
nan,76.75160134,0.098528231,12.7780368,0.828065384,0.01477838,0.093356716,0.931090401,2.794783061,5.663458074,0.009266241
nan,76.16747634,0.099897915,13.03770926,0.851224774,0.007334503,0.106168485,0.915816609,2.866459889,5.67049326,0.008404515
nan,76.10083641,0.075481519,12.98097542,0.909862014,0.001322638,0.131968273,0.897740212,2.775001316,5.698226957,0.008131021
nan,76.08494471,0.090087126,12.59635386,0.886472091,0.009571721,0.156004563,0.936637314,2.80463177,5.653387876,0.015226876
nan,75.64729197,0.092321755,12.96762762,0.823068121,0.002958712,0.127065944,0.933438658,2.855855057,5.590721813,0.012899038
nan,76.50605322,0.089310162,12.89521519,0.871660812,0.012490588,0.109793604,0.908966829,2.866091146,5.671277826,0.015343845
nan,76.26394147,0.077186179,12.77744065,0.863161097,0.012842135,0.096373557,0.987200608,2.768151953,5.555042983,0.013980405
nan,76.21960913,0.097459467,12.75369906,0.810424425,0.010148591,0.098846116,0.936053883,2.543099385,5.684030061,0.014751712
nan,76.65821279,0.097167813,12.9255891,0.857618838,0.01312519,0.114376694,0.915975077,2.664303123,5.668585654,0.016651216
nan,76.58872379,0.087891459,12.9771487,0.816613224,0.009821745,0.152162495,0.962623818,2.982638689,5.646823116,0.013813508
nan,76.33081473,0.098290727,12.62034534,0.778684346,0.009033231,0.125441693,0.960990985,2.557559408,5.677843823,0.01320249
nan,76.47517594,0.076300179,12.92123424,0.833377359,0.013140467,0.122732671,0.903471378,2.76350616,5.703639226,0.013951331
nan,76.04148901,0.100793283,12.79504502,0.86691838,0.007301163,0.067293027,0.973178746,3.000275228,5.652967444,0.012250094
nan,75.85849301,0.085534647,12.83776769,0.933524803,0.018897094,0.100617361,0.899565119,3.053373051,5.683557027,0.011462873
nan,75.92098812,0.103089539,13.0795678,0.838536065,0.009128315,0.11770954,0.921785824,2.767273207,5.60133846,0.009614085
nan,76.30995977,0.090016802,12.66124151,0.823751852,0.010494704,0.143273471,0.921036745,2.889340063,5.687217652,0.010908277
nan,76.29855214,0.093939765,12.94346868,0.836580338,0.01331518,0.121538017,0.971316961,2.674857273,5.72824886,0.01612099
nan,76.68694857,0.077000143,12.78334447,0.825480163,0.010987359,0.069798209,0.936236388,2.851964702,5.632254017,0.012521064
nan,75.65844887,0.090359109,12.89048673,0.866192063,0.009007317,0.116951359,0.941234118,2.761021294,5.643247565,0.009548535
nan,76.76192876,0.111325038,12.77302801,0.865808022,0.006745661,0.086886113,0.93222773,2.779051914,5.67284201,0.017164576
nan,76.43384467,0.097919482,12.87487353,0.890761664,0.018199971,0.113182708,0.937966989,2.656747162,5.595620818,0.017750246
nan,76.21031907,0.09373023,12.75789228,0.800564544,0.018048008,0.145031041,0.953343207,2.785200911,5.623926697,0.008977747
nan,76.22245211,0.081392908,12.90093834,0.817598494,0.014035204,0.112651726,0.98084348,3.00495319,5.690243044,0.010887816
nan,75.67997752,0.09299105,12.5994176,0.775236686,0.00730359,0.093183881,0.933504398,2.930884941,5.644205645,0.007800102
nan,76.41231003,0.089188243,12.78033686,0.829506951,0.017924253,0.081216233,0.965224775,2.890705358,5.667714132,0.013484479
nan,76.68141431,0.107357243,12.95870973,0.850829101,0.012292968,0.095288644,0.951296823,2.779138154,5.626733346,0.010151339
nan,75.73349629,0.071813734,13.01755817,0.822615503,0.011989502,0.120311472,0.926637474,2.965613101,5.590182119,0.016303205
nan,76.10225797,0.101517228,12.60965489,0.915828419,0.006219013,0.119235147,0.933753229,2.869538944,5.685876165,0.016117565
nan,75.88808977,0.105088283,12.99384878,0.831954195,0.003973657,0.127171321,0.907922784,2.753612976,5.677203506,0.006894981
nan,75.87677762,0.105487472,12.80984435,0.874238111,0.00808717,0.089410896,0.900872949,3.015000294,5.729872927,0.006806638
nan,76.28859992,0.086979782,12.94135979,0.812899311,0.0138847,0.115154191,0.913922837,2.917807312,5.663088833,0.011078075
nan,76.09092056,0.08400251,13.04392907,0.854341981,0.01372109,0.112555966,1.024836742,2.981765632,5.611360246,0.016213872
nan,76.22676242,0.108209917,12.82233875,0.909179915,0.02684141,0.115521343,0.978671436,3.040349037,5.523642411,0.013825848
nan,75.96473165,0.08783551,12.50230002,0.855783702,0.013419256,0.103727437,0.878405474,2.936344936,5.653286591,0.013472441
nan,76.62632391,0.093428902,12.90405005,0.819504229,0.007825376,0.100856277,0.874559172,2.488772024,5.66266421,0.014429054
nan,75.87136399,0.090581972,12.84877495,0.843465392,0.014355317,0.106004476,0.881557473,2.85454323,5.614277171,0.007543518
nan,76.52646115,0.101422248,12.98628824,0.859776821,0.021960106,0.130581936,0.940371956,2.736139633,5.628904383,0.017084413
nan,76.01250561,0.091507021,12.48375785,0.821608971,0.008472056,0.113664584,0.930851366,2.74619474,5.694019788,0.018503083
nan,76.17253232,0.090796725,12.62673128,0.863952026,0.009832354,0.109244656,0.913392721,2.882344125,5.736824217,0.015573871
nan,76.41123577,0.107376231,12.93058755,0.930145691,0.005368612,0.124511234,0.858866732,2.769535218,5.708111423,0.011470274
nan,76.49313653,0.108663977,12.70220523,0.919741596,0.008561128,0.121814447,0.884177766,2.62043309,5.693096815,0.011276513
nan,75.96163857,0.096479823,12.73127391,0.88943305,0.010649358,0.106703349,0.942848185,2.851724656,5.658836245,0.00959447
nan,76.3713349,0.096555813,12.51679108,0.902353245,0.002715298,0.09447238,0.972536181,2.916060548,5.731952407,0.019633473
nan,75.81416336,0.086793065,12.68254125,0.86130843,-0.001271075,0.062157131,0.962946532,2.625033222,5.64502515,0.014886327
nan,76.8175797,0.107735533,12.63564714,0.871687382,0.003042191,0.096652957,0.982401856,2.606957994,5.643332004,0.00962181
nan,76.10624674,0.075995592,12.93523951,0.889366253,0.008442169,0.120070696,0.908651415,2.864751141,5.612449243,0.014646784
nan,75.68008001,0.093383555,12.8221975,0.826990066,0.012560468,0.136647417,1.002685931,3.030999369,5.651292256,0.007475142
