,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5
nan,76.24788691,0.085982998,12.59923364,0.529824763,0.005963566,0.031209292,0.94263597,2.937677487,5.580744209,0.014770458
nan,77.259792,0.061147489,13.00958805,0.566671213,0.005385198,0.055814238,1.02807654,2.969171815,5.636153074,0.000421331
nan,75.44701999,0.069294415,12.9566418,0.603776184,0.005871699,0.054490643,0.971510044,3.036580618,5.649474113,0.006684011
nan,76.43482519,0.087208557,13.18112902,0.594231381,0.006178272,0.075908469,1.003734557,2.912400869,5.49928236,0.018678765
nan,75.87420819,0.071956921,12.6678367,0.6206083,0.008937517,0.076834556,1.005000925,3.022161619,5.510417738,0.024420147
nan,75.69574998,0.079040063,12.93085381,0.631103014,0.004937136,0.050414039,0.992396232,3.078300442,5.517445703,0.013198344
nan,75.52466933,0.072840937,12.9198194,0.600137125,0.008509068,0.082077117,0.978179615,3.03330829,5.474094431,0.00967081
nan,76.49382136,0.072513994,13.01719536,0.547177096,0.004549001,0.064010325,0.947597083,2.929539873,5.530177697,0.002559751
nan,75.90824986,0.087417785,12.75388725,0.589115765,0.007352756,0.089767662,1.030557696,2.933336946,5.528841016,0.010246604
nan,75.9267327,0.095246243,12.90530601,0.635743953,0.003925504,0.091257211,0.977108143,2.898612438,5.512063312,0.016829236
nan,75.66718893,0.087114112,13.00221416,0.68364003,0.010805095,0.097974087,1.003995247,2.925407938,5.474839796,0.00560538
nan,76.36729811,0.058788214,12.76683139,0.596849321,0.00659636,0.094749106,1.054085259,2.820381256,5.577383423,0.013988822
nan,76.6720946,0.070512008,12.93619985,0.517736529,0.007668213,0.08576333,0.991417149,3.028570664,5.481448426,0.014761571
nan,75.78255536,0.076945867,13.13571736,0.562145678,0.006577989,0.076946712,0.984191066,2.959051582,5.49757381,0.020825092
nan,76.09058445,0.089469622,12.95641846,0.597510563,0.006443121,0.084315985,0.98469846,2.957777175,5.489764243,0.014551935
nan,75.83187382,0.072729236,13.05713911,0.606688347,0.006522613,0.06635333,1.055184572,2.699740954,5.560142241,0.013191587
