,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5
nan,76.20992234,0.082669813,13.11733544,0.658422611,0.01000118,0.088065529,1.017840081,3.464982887,4.785536418,0.003729439
nan,76.67580516,0.092849372,13.00861025,0.618348374,0.009346432,0.071942206,1.031624464,3.424271501,4.77144298,0.009844829
nan,75.85254821,0.087600826,13.09659032,0.659167486,0.009656762,0.101352696,1.06109406,3.390773491,4.953817514,0.004634573
nan,76.22116976,0.098807469,13.15704906,0.573577314,0.008389371,0.083749784,1.0138461,3.414706072,4.827765705,0.011674524
nan,76.29069518,0.084832889,13.08678207,0.693228453,0.008573949,0.102070134,1.115387129,3.607057129,4.828967427,0.010185072
nan,75.80892925,0.101576708,12.98947729,0.67637228,0.005356029,0.096326692,1.020667489,3.597178626,4.879248842,0.016170725
nan,75.61031464,0.079104687,13.16016773,0.716734656,0.005264591,0.074024234,1.013328274,3.38981731,4.903268423,0.014667229
nan,76.36085216,0.075219149,13.11621679,0.653868113,0.010663107,0.083434416,1.042881364,3.458913289,4.784861347,0.00581868
nan,75.87776696,0.095284764,12.99352159,0.575141444,0.009457853,0.070135618,0.97600182,3.601363544,4.831728161,0.011846699
nan,76.53939874,0.093325868,13.09413724,0.606814868,0.005237118,0.037233319,0.984927828,3.493864415,4.838152987,0.014824006
nan,75.89734973,0.107600851,13.23390767,0.728707424,0.008165082,0.076443448,0.965465472,3.493326579,4.809868258,0.008902266
nan,75.9437439,0.098256943,12.92941886,0.595813422,0.0079934,0.070396377,1.076393847,3.443220115,4.867670277,0.010222791
nan,76.5521815,0.094289847,13.08067322,0.703768061,0.008140574,0.095905489,1.072837242,3.554244845,4.794145684,0.00192238
nan,76.32640311,0.101844728,13.07753551,0.681930071,0.009083304,0.090287989,1.084014716,3.46062331,4.892398387,0.003876441
nan,75.91573002,0.103720659,12.64985379,0.693854208,0.009124156,0.074235103,1.073265945,3.425568703,4.878253988,0.017995511
nan,76.67077208,0.090312322,13.14857161,0.670704687,0.011808677,0.076903933,1.027151232,3.333515666,4.821921237,0.007238673
nan,76.76084426,0.084817719,12.99987889,0.605608605,0.006608646,0.053183645,0.962472383,3.331991835,4.843501615,0.008049594
nan,75.03869274,0.09136892,13.09879872,0.601161989,0.00747104,0.057718514,1.089387844,3.446432634,4.892274371,0.010598738
nan,76.05556795,0.101666758,13.29040234,0.687415201,0.012133794,0.011086148,0.980404369,3.373157731,4.853923699,0.02154302
nan,75.90257643,0.074372388,13.20493527,0.597061072,0.010149513,0.077393696,0.99608638,3.512754372,4.812718864,0.006028035
nan,75.33477427,0.098455786,13.06301632,0.605740501,0.008781291,0.121652876,1.089589265,3.683776372,4.846874676,-0.002857305
nan,76.48760877,0.094716263,13.16052098,0.562970907,0.008249615,0.114269672,0.987988129,3.402318831,4.912735413,0.015895051
