,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5
nan,75.83478839,0.089305501,12.74396896,0.652508958,0.008725911,0.043161445,0.890595503,3.250168833,5.460589572,0.004333976
nan,76.64057671,0.087738417,12.79308424,0.63689407,0.00582512,0.055256902,0.934010232,3.226595348,5.377920599,0.004340502
nan,76.472262,0.082631443,12.87613297,0.602352358,0.006539393,0.044953713,0.901633625,3.262528162,5.277810774,0.004692266
nan,76.4289229,0.097037314,13.28059681,0.656369683,0.008432888,0.064189495,0.860404022,3.201787402,5.30949071,0.002170095
nan,76.36760296,0.109055463,12.76474699,0.661699404,0.009870066,0.09783087,0.960687088,3.372649675,5.226062373,0.003014644
nan,76.86606659,0.085888952,12.85891425,0.573707752,0.010620621,0.059248939,0.880252408,3.158958696,5.403816181,0.009954163
nan,76.83627998,0.099217514,12.5652836,0.658687321,0.006900774,0.037153828,0.948624036,3.367581451,5.354623812,0.008162466
nan,76.42115994,0.089881582,12.85667099,0.65235192,0.010033452,0.05015395,0.915464892,3.241237256,5.459260282,0.007518963
nan,76.19513708,0.079945833,12.80408415,0.634007218,0.007536445,0.064339336,0.949158702,3.175752514,5.331716324,0.008713186
nan,76.40783046,0.099015972,12.97095569,0.484630246,0.011312421,0.087797401,0.897596471,3.288710794,5.43212206,0.016063892
nan,75.72745711,0.092995019,13.05974192,0.64058907,0.009323493,0.057812557,0.919325772,3.316537949,5.377325781,0.006445963
nan,75.94631366,0.09728142,12.69667461,0.555309089,0.007889353,0.056459194,0.89993291,3.270376583,5.365694015,0.012476753
nan,76.80972245,0.088447494,12.87021503,0.580728249,0.011671659,0.086564116,0.847348183,3.093408896,5.204470905,0.01741824
nan,76.7377284,0.077540092,12.79941581,0.581259049,0.012889337,0.080176512,0.891279507,3.317472367,5.328325475,0.001950029
nan,76.53905213,0.081602913,12.98610201,0.532097888,0.009488014,0.076480418,0.850756664,3.097141768,5.404321459,0.01008059
nan,75.78143442,0.108173964,12.90396003,0.537446993,0.011526082,0.079693745,0.919477881,3.319158177,5.317852024,0.005970268
