,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5
nan,71.83636745,0.238540397,14.30795385,2.04261611,0.045260991,0.388541425,2.143925414,3.640077961,4.189330496,0.08512283
nan,71.87542985,0.238639369,14.57487348,2.006713846,0.039753748,0.365254802,2.167237169,3.900758686,3.956760879,0.08630523
nan,71.50475117,0.235894298,14.55730045,1.974284042,0.045296042,0.348244262,2.278774059,3.845185866,4.057123347,0.092330914
nan,72.01568234,0.232447022,14.59318239,2.042915273,0.044167332,0.326772862,2.162698583,3.74868694,4.106814786,0.087609882
nan,71.28256302,0.283718737,14.50642554,1.89129842,0.037546624,0.32154823,2.17510042,3.733641514,4.157639389,0.078764199
nan,71.8179466,0.254503688,14.69685525,1.907823,0.042724687,0.345463037,2.281453096,3.741757732,4.161894769,0.09839321
nan,71.47233187,0.248750667,14.40975218,1.995289797,0.042873371,0.346829568,2.158778402,3.885737459,4.109733073,0.074749911
nan,71.63429612,0.247580407,14.60786218,2.128533788,0.047958692,0.40873907,2.112820839,3.884710302,4.132111311,0.098789226
nan,71.79227707,0.262047643,14.86480361,1.99020811,0.038695004,0.397394485,2.138427469,3.878694231,4.160229439,0.109363934
nan,71.51926715,0.224429496,14.639877,2.057888293,0.045137816,0.422336948,2.211546291,4.021946183,4.081046775,0.089524537
nan,71.70272497,0.264941992,14.52847059,1.885716325,0.041061208,0.379909508,2.151086708,3.883653077,4.106603427,0.08617954
nan,71.12914103,0.253279722,14.57810019,2.103492351,0.039251574,0.385813207,2.200965495,3.78710882,4.263307093,0.067813493
nan,71.71313883,0.247756672,14.4919855,2.138598487,0.03946624,0.319250112,2.090050503,3.855839414,4.107095628,0.069588591
nan,71.69565273,0.253218077,14.8166859,2.051790133,0.038873875,0.395755439,2.216673145,3.805665374,4.119105971,0.062860773
nan,71.73257126,0.250595691,14.74321966,2.080328744,0.038188278,0.373432265,2.224366549,3.848338083,4.158252522,0.081865201
nan,71.40525407,0.248556895,14.88029755,2.071182939,0.039726101,0.412937223,2.17838382,3.938177906,4.110166267,0.089497157
nan,70.93332026,0.252429147,14.58138725,2.028814475,0.042005641,0.380055093,2.268786091,3.735097758,4.0914877,0.089201502
nan,71.44580587,0.252431454,14.59984944,1.939981968,0.048860461,0.315947121,2.240096855,3.634687566,4.200936439,0.068077084
nan,71.83411677,0.208919424,14.63355237,2.059816949,0.045939966,0.385591794,2.245558029,3.889902401,4.174262564,0.082030336
nan,71.7072207,0.233589664,14.3557351,1.97151913,0.039133899,0.403139979,2.203691971,3.759161519,4.178139588,0.080358738
nan,71.3543168,0.250319192,14.82653931,1.847510972,0.038514245,0.264413007,2.092111001,3.781513737,4.071453519,0.077082802
nan,71.7635472,0.261281327,14.4282454,1.931391606,0.037202082,0.378883097,2.210379254,3.818005926,4.216272635,0.091665926
nan,71.71570992,0.273002683,14.44782631,2.108680398,0.041652664,0.335836859,2.182509747,3.744108133,4.060592132,0.097208798
nan,71.72476068,0.25329987,14.62277599,1.936978102,0.043730533,0.409700714,2.192966255,3.765086023,4.174633956,0.09432744
nan,72.10823717,0.237632281,14.72804153,1.94900041,0.044012795,0.355776122,2.122300573,3.843405581,4.083753789,0.085906845
nan,71.68048756,0.238967092,14.49511081,2.149915942,0.044715044,0.373942243,2.123489299,3.720107721,4.194159154,0.067220901
nan,72.10227855,0.284137916,14.65673813,2.203369863,0.043803795,0.357480506,2.177545575,3.921461308,4.129788686,0.07539402
nan,71.42449236,0.263563578,14.46216069,2.00802524,0.04458595,0.380577975,2.245994185,3.913776967,4.049183899,0.090327711
nan,71.80383547,0.248527271,14.57550115,1.891918694,0.045295362,0.366521908,2.232318708,3.834559744,4.093232367,0.084160794
nan,71.83219671,0.244569102,14.40019855,2.028549552,0.046701246,0.293373504,2.271862638,3.941593134,4.176238131,0.077670359
nan,72.25499905,0.23412613,14.52902029,2.035430617,0.045414096,0.394002415,2.23413505,3.794795302,4.148959238,0.087651868
nan,71.28982122,0.257653224,14.66485069,1.998186742,0.042713217,0.359806554,2.084646574,3.954559058,4.21163358,0.090027152
nan,72.05059531,0.236661394,14.53092256,1.993373373,0.043561898,0.368516418,2.174640912,3.742934652,4.112014814,0.07615252
nan,72.21813251,0.272942336,14.46226146,2.141396404,0.038091179,0.375084124,2.216292143,3.874030261,4.280364559,0.086916945
nan,71.95466569,0.256440274,14.36873668,1.881774491,0.046640011,0.374443561,2.111346392,3.780266293,4.175684869,0.087570004
nan,70.98571763,0.22943657,14.9672018,2.060048944,0.04022398,0.294226091,2.14942354,3.730953085,4.082781115,0.066550219
nan,71.5430056,0.26052297,14.53183156,2.055411206,0.044354819,0.411617814,2.222699681,3.912124863,4.130502549,0.082089921
nan,71.51847695,0.255902038,14.77597186,2.061950417,0.043646021,0.371282737,2.27805546,3.851935532,4.133828917,0.081775165
nan,72.14050311,0.259389689,14.60433712,2.004301935,0.040766884,0.393628187,2.117220266,3.660781154,4.191096819,0.076588538
nan,72.10239464,0.267732461,14.46399512,1.842254713,0.05033867,0.373462562,2.097692316,3.781540747,4.104344544,0.085354716
nan,71.87988495,0.253243498,14.35669619,1.991330507,0.039847084,0.356079689,2.062651045,3.783501638,4.135764717,0.088807016
nan,72.47610844,0.264234195,14.64798563,1.761838048,0.045205463,0.303565716,2.274787938,3.650303444,4.111352617,0.084042375
nan,71.23754928,0.256628861,14.57597853,2.056648717,0.03876682,0.384982196,2.120913385,3.838615613,4.224678852,0.082360372
