,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5
nan,74.17196557,0.165667732,13.19095442,1.302905806,0.012375385,0.247371829,1.47000021,3.048612255,5.294242118,0.051083315
nan,74.41317465,0.167208964,13.53773357,1.340789581,0.022300408,0.303816392,1.384873675,3.171101641,5.272528143,0.045562358
nan,73.88578019,0.178289165,13.45459203,1.319588924,0.02027846,0.284079761,1.486196522,3.119987079,5.276217257,0.046202915
nan,74.31648936,0.166932977,13.44448406,1.403683941,0.017428579,0.254225266,1.507530284,3.216602121,5.191337901,0.049938365
nan,74.40184007,0.17715389,13.5226525,1.290733478,0.022332472,0.257151196,1.455287059,3.051632795,5.122756451,0.055680931
nan,74.71180345,0.215082341,13.4801216,1.398332159,0.020937084,0.214409579,1.365433878,3.281950023,5.312535958,0.052456396
nan,74.20069548,0.182924083,13.28809599,1.451640571,0.021029583,0.323831619,1.454910206,3.047816739,5.303518425,0.076500041
nan,74.46542286,0.157218966,13.30018099,1.462102654,0.024706555,0.23899322,1.496394097,3.079162261,5.159760838,0.063860856
nan,74.96564259,0.167807555,13.30101788,1.430865283,0.020729509,0.25306058,1.526654056,3.142678544,5.263350887,0.051241475
nan,73.95401281,0.170927395,13.55954777,1.343037794,0.022336169,0.238078892,1.509311781,3.007340023,5.285970115,0.049208636
nan,74.7304841,0.179948502,13.43288792,1.244461437,0.017472016,0.232201154,1.494237566,3.152378107,5.275543223,0.068326179
nan,73.78057232,0.179898617,13.32009416,1.341551318,0.0174282,0.200772958,1.525616558,3.061855869,5.277537728,0.058430427
nan,74.02952032,0.173440103,13.14578916,1.442400098,0.018237128,0.308578583,1.47123876,3.153641344,5.193929175,0.056000642
nan,74.20135112,0.171455457,13.50444692,1.488755739,0.019319569,0.270942485,1.435920861,3.099701441,5.25724506,0.060126291
nan,74.44579797,0.18464481,13.16945536,1.475353974,0.019266534,0.233300128,1.468251963,3.05848177,5.166402605,0.048856559
nan,74.39088966,0.185643623,13.63789643,1.430247398,0.018115165,0.292630764,1.495989728,3.025182089,5.209605145,0.057120404
nan,73.65928543,0.160912194,13.43101079,1.359951876,0.020832728,0.235424854,1.461624594,3.205769492,5.383727933,0.059304266
nan,74.24638293,0.169542251,13.22731393,1.433242092,0.015816412,0.260321355,1.387176389,3.012463161,5.256250959,0.061253118
nan,74.79289594,0.147466133,13.36292465,1.248516975,0.017293347,0.253419731,1.405866389,2.88572855,5.203711102,0.068548975
nan,73.53072746,0.155063675,13.41401589,1.34177335,0.022164302,0.210628811,1.457330262,3.141389867,5.266956013,0.061527986
nan,74.28845974,0.181858291,13.76780135,1.323737691,0.01572698,0.283244247,1.424027163,3.059742177,5.342350636,0.069935087
nan,75.11369351,0.193892454,13.3035919,1.425010637,0.020836058,0.214697218,1.442913998,2.966529277,5.379845602,0.051160361
nan,74.59297525,0.182325789,13.39761492,1.433726269,0.0224621,0.295576492,1.482256659,3.263014021,5.152292553,0.063195164
nan,74.15702644,0.188215857,13.29788594,1.299162903,0.02103358,0.299818466,1.516859758,3.120223869,5.208501544,0.059968881
nan,73.91391902,0.171531291,13.67029025,1.513888029,0.021624291,0.16990727,1.474088763,2.966624553,5.24877553,0.055899772
nan,73.81989109,0.170189298,13.51363663,1.455391159,0.018381564,0.219422568,1.444862996,3.107542077,5.253235747,0.066213523
nan,74.3192805,0.172983517,12.98950239,1.490676614,0.02339475,0.250080193,1.440870528,3.135619077,5.212175299,0.047984456
nan,74.89146169,0.182905442,13.3954928,1.310800189,0.022755223,0.293104274,1.492297207,3.061211502,5.248446955,0.053450045
nan,74.96415999,0.167719781,13.4254176,1.327101116,0.016873396,0.25781117,1.399464308,3.10065089,5.274265948,0.060890175
nan,74.28401287,0.161772288,13.50928209,1.379266742,0.018813539,0.27250738,1.397524326,3.099619814,5.188445722,0.065320504
nan,74.04783983,0.165666237,13.29456073,1.312754583,0.020098252,0.271284544,1.569867299,3.021187369,5.215980724,0.050882546
nan,74.42338281,0.163409864,13.3653133,1.443969844,0.025479689,0.305173752,1.563673703,3.145716995,5.173518221,0.063081018
nan,74.88629911,0.167378868,13.19498498,1.344260664,0.023789726,0.255566725,1.519237035,3.121442509,5.227808718,0.063155189
nan,74.59848605,0.166313885,13.4103444,1.363563039,0.019333702,0.295911697,1.404488817,3.188995287,5.172077023,0.063457999
nan,74.70740047,0.170545932,13.34923974,1.453020297,0.018725465,0.32797527,1.468527935,3.075198602,5.139416551,0.064903534
nan,74.38057775,0.147707307,13.44894262,1.355032509,0.018476223,0.201569092,1.429868592,3.108529894,5.226950806,0.048536627
nan,74.58171808,0.148150893,13.55112962,1.440922928,0.018557796,0.276073648,1.467176394,3.055451391,5.310522598,0.065515829
nan,73.74496249,0.177361632,13.4316927,1.430220713,0.024570523,0.240448197,1.446411767,3.06906119,5.260295459,0.068565724
nan,74.45466341,0.190274597,13.45262547,1.332725886,0.020970644,0.229374823,1.471827501,3.195378352,5.297977457,0.057460663
nan,74.42890726,0.166637268,13.58327122,1.328657306,0.016884303,0.242801773,1.520226664,3.09567987,5.152209569,0.059254727
nan,74.90184267,0.184278761,13.54203898,1.462901622,0.016749106,0.227118431,1.392589525,3.121475694,5.199909753,0.065574494
nan,74.21927682,0.192934681,13.64280951,1.584136632,0.020588035,0.172827099,1.354041272,3.053606674,5.194681783,0.061663835
nan,74.17925983,0.167606412,13.5115264,1.469081817,0.019225423,0.199658652,1.46362131,3.170038656,5.334558679,0.044235688
nan,74.33087415,0.200503672,13.46210815,1.393974318,0.021522372,0.285429741,1.466505297,3.106828502,5.28485177,0.061467069
nan,74.41203748,0.164053222,13.00139523,1.423999686,0.017690197,0.201033832,1.443519084,3.275130379,5.236163961,0.068767563
nan,74.5333015,0.166582762,13.51493975,1.428405434,0.019899288,0.247494882,1.594758141,3.113350877,5.228006207,0.056443115
nan,74.77258091,0.175889298,13.35333708,1.45440643,0.022056463,0.297491031,1.463205864,3.081816936,5.217785047,0.058307409
nan,74.26439735,0.157133081,13.59151957,1.620273441,0.019364782,0.247623728,1.465653296,3.169506613,5.28768735,0.05751082
nan,74.47208696,0.161809252,13.26655329,1.321514337,0.019231126,0.296559322,1.45761213,3.138148092,5.287219656,0.062703398
nan,74.63095207,0.186696461,13.55924624,1.395957344,0.022638584,0.282046712,1.560585032,3.176483591,5.197608968,0.054637672
nan,74.23691548,0.176573882,13.36216724,1.519534627,0.022989983,0.251902574,1.524761613,2.904741452,5.193134928,0.053515051
nan,73.9783997,0.159154107,13.60727898,1.397846499,0.025736283,0.240832716,1.416435463,3.055571378,5.218733348,0.058397246
nan,73.80282758,0.160916734,13.59056737,1.414511048,0.023832827,0.234767681,1.579557172,3.200545157,5.239193953,0.058934463
nan,74.90813874,0.190385622,13.37582195,1.418169746,0.017916053,0.22876679,1.52867533,2.908465173,5.20580047,0.06225957
nan,74.12516323,0.180819141,13.6077563,1.562858917,0.022935266,0.305039272,1.529689355,3.268740774,5.215905226,0.062808399
nan,74.24626007,0.191115897,13.57825383,1.386638563,0.019258348,0.227532447,1.505748103,3.117179775,5.180381871,0.064813098
nan,74.15582943,0.168959785,13.38677782,1.428780809,0.021062281,0.223714359,1.484265516,3.092284685,5.158077813,0.060463847
nan,74.69937503,0.155052911,13.51912531,1.4946761,0.023310523,0.239284025,1.437343233,3.110069479,5.248810171,0.065286026
nan,74.56214743,0.178482897,13.35544162,1.50828457,0.021814696,0.304113395,1.504331903,3.089933119,5.339743998,0.068423774
nan,74.45573382,0.161164527,13.27343443,1.429814554,0.02685861,0.24789368,1.514248487,3.101186394,5.192734911,0.054110575
nan,74.5003708,0.164558583,13.50131787,1.467894972,0.019899455,0.219993459,1.431244148,3.072232268,5.260300142,0.066748842
nan,73.88337531,0.153239522,13.42122309,1.398560423,0.018354718,0.333326839,1.462693407,3.182704236,5.202835891,0.067225397
nan,74.15822947,0.178256071,13.29323454,1.392036257,0.020190101,0.240215008,1.516611771,3.232905692,5.270919714,0.05159313
nan,74.73946268,0.189306134,13.4830568,1.399969288,0.017305375,0.291493553,1.418670612,3.1194796,5.295946557,0.052758688
nan,73.94057668,0.15891732,13.37838812,1.31907205,0.022388691,0.255624796,1.440085502,3.2034934,5.206115381,0.062144171
