,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5
nan,76.21572698,0.060195299,12.7478098,0.490256412,0.007189473,0.037914966,0.9897645,2.831297637,5.586667862,0.032475279
nan,76.10598748,0.07795178,12.69233217,0.485244998,0.003994699,0.052712036,1.02375262,2.903797609,5.664667817,0.036102534
nan,76.64431819,0.070622126,12.8904024,0.483756295,0.005108291,0.045652737,0.996902882,2.856502308,5.665596768,0.021284467
nan,76.57949666,0.084925957,13.2143395,0.556031731,0.006213114,0.060094422,1.072180021,2.751522133,5.493939125,0.031719957
nan,76.56713016,0.075057932,12.81805305,0.505143745,0.004042305,0.063309104,0.969664196,2.858089482,5.685052373,0.045203804
nan,76.37325156,0.078610028,12.75113716,0.477942819,0.008389414,0.091560333,1.037182573,2.887803743,5.622336358,0.027906039
nan,76.85800967,0.09940014,12.89107486,0.579405007,0.007449136,0.084100388,1.015032728,2.912825261,5.650412624,0.031643486
nan,77.00795408,0.073253852,12.93760205,0.543411558,0.006439771,0.055528046,1.07189784,2.793542378,5.62851373,0.037637257
nan,76.91792893,0.090327122,12.91610167,0.463828319,0.004622846,0.068734838,1.099457852,2.946531847,5.59639807,0.027445924
nan,76.67767429,0.085754311,12.68595892,0.52694463,0.00495928,0.048347546,1.034103568,2.960055106,5.577601392,0.032234321
nan,75.86913065,0.064989978,12.82578749,0.561182041,0.007588973,0.052175164,1.038129465,2.746553406,5.634726477,0.035656554
nan,76.69577159,0.092461398,12.84903531,0.515922035,0.007446564,0.081521461,1.003462325,2.71819237,5.687401506,0.0380726
nan,76.54167811,0.064794284,12.81134808,0.586512706,0.005846782,0.085661385,1.077103418,2.902050272,5.677851829,0.033788818
nan,77.02344192,0.087269691,12.73577625,0.473646663,0.005152831,0.03426549,1.038574275,3.057769785,5.645951411,0.036240275
nan,76.19974714,0.065693506,12.71779706,0.501271902,0.003518556,0.054024025,0.956750573,2.765774535,5.640608302,0.032629083
nan,77.07221923,0.067230635,13.04853413,0.59909527,0.005772935,0.059557663,1.032768765,2.798943828,5.614390183,0.022590478
nan,76.33672974,0.075977582,12.88594945,0.514455722,0.008059264,0.061607625,0.975864174,2.799760518,5.646143844,0.042473964
nan,76.2007736,0.080046535,12.66819514,0.596517113,0.00614834,0.085402114,1.029269432,2.720756105,5.673485343,0.030014265
nan,75.88478442,0.09550367,12.75715877,0.43864035,0.006744309,0.063091629,0.992567367,2.849238763,5.700198243,0.028557665
nan,76.75860376,0.050012554,12.69680148,0.498165584,0.005746604,0.03820008,0.976000752,2.903870556,5.731205519,0.050588327
nan,75.74064356,0.081737072,12.78901734,0.504811728,0.002247505,0.093385303,1.035886123,2.941205973,5.63776086,0.02000576
nan,76.28164119,0.08623245,12.9310925,0.462083377,0.005607801,0.036612247,0.940572526,2.823828215,5.5160099,0.044550924
nan,75.83789191,0.088531744,13.04600705,0.535674883,0.009798597,0.064588969,0.911812941,3.038981702,5.585359682,0.038285301
nan,76.77474974,0.078940801,12.93793954,0.513429015,0.00597897,0.075917852,1.009582556,2.846820843,5.708493184,0.048979037
nan,76.58580248,0.084714407,12.94324679,0.488599872,0.003858354,0.086072674,1.008775556,2.839625312,5.684533534,0.030382587
nan,76.62936864,0.089980405,12.8479075,0.543742874,0.004902664,0.045465211,0.947348542,2.695583359,5.523269229,0.042213885
nan,75.81576966,0.086391549,12.49456692,0.546336867,0.003739647,0.077136879,1.005086992,2.874209806,5.621811928,0.02846173
nan,75.98903752,0.084157014,12.8948706,0.496875158,0.004222007,0.063471396,0.978077116,2.703832306,5.681004306,0.028698432
nan,76.28285795,0.081019408,12.92789174,0.558818832,0.006094699,0.043944035,1.029278792,2.816449578,5.48570683,0.031993672
nan,76.28633074,0.080695834,12.73770472,0.527970292,0.007390937,0.049297842,1.020916351,2.957430927,5.567311747,0.040318937
nan,76.98564968,0.099374041,12.99046932,0.45102622,0.005769865,0.052589799,0.928746615,2.886827452,5.678080792,0.037751378
nan,76.48388273,0.066047236,12.87564973,0.482947368,0.005175395,0.058305938,1.025023401,2.947705892,5.593907865,0.031224605
nan,76.74712901,0.094587205,12.69422215,0.454456428,0.004343484,0.059515905,0.967044581,2.815430907,5.631129133,0.035321368
nan,76.97610398,0.081972887,12.66587412,0.519043321,0.00728889,0.063294673,1.037339217,2.884597897,5.632382918,0.027253484
nan,76.23959426,0.071017175,12.97380749,0.562719189,0.003310929,0.042976575,1.018059506,2.643321707,5.756712911,0.034941207
nan,76.95376366,0.08576246,12.77494237,0.426494447,0.008825896,0.072177475,0.964442436,2.943845686,5.559534555,0.037544049
nan,76.33263792,0.077409814,12.9860053,0.495170853,0.00848192,0.096660748,1.10249599,2.918815692,5.53801638,0.040140993
nan,76.17883606,0.084166836,12.89426876,0.431411918,0.005526404,0.0719073,1.074028006,2.883475916,5.773013382,0.026993135
nan,75.91710748,0.072414175,12.78085356,0.494398872,0.00338569,0.081315554,0.996772506,2.960888427,5.628540387,0.042198911
nan,75.82674721,0.070834801,12.98079257,0.540535464,0.003022744,0.058754415,0.992781211,2.726622172,5.666916127,0.0243647
nan,76.52182515,0.076958108,12.87164558,0.489267621,0.007134986,0.046581213,1.019486213,2.917247936,5.601817975,0.031189846
nan,76.18973622,0.092264578,12.91616275,0.480222768,0.005234956,0.078682261,1.100717589,2.675199238,5.642849629,0.034786859
nan,76.64590783,0.068526663,13.07553927,0.508465131,0.004601876,0.041019027,1.061992806,2.920915849,5.6647743,0.037702864
